title,filename,path,relative_path,size_bytes,size_gb,resolution,width,height,video_codec,audio_codec,hdr,source,group,duration_minutes,bitrate_mbps
The Lego Ninjago Movie (2017),The Lego Ninjago Movie (2017) {tmdb-274862} - [Bluray-1080p][EAC3 7.1][HDR10][x265]-DON.mkv,/mnt/media/Movies/The Lego Ninjago Movie (2017)/The Lego Ninjago Movie (2017) {tmdb-274862} - [Bluray-1080p][EAC3 7.1][HDR10][x265]-DON.mkv,The Lego Ninjago Movie (2017)/The Lego Ninjago Movie (2017) {tmdb-274862} - [Bluray-1080p][EAC3 7.1][HDR10][x265]-DON.mkv,10743553517,10.01,1080p,,,H.265,DD+,HDR10,BluRay,,,
Six Days Seven Nights (1998),Six Days Seven Nights (1998) {tmdb-6068} - [Bluray-1080p][EAC3 5.1][x264]-playHD.mkv,/mnt/media/Movies/Six Days Seven Nights (1998)/Six Days Seven Nights (1998) {tmdb-6068} - [Bluray-1080p][EAC3 5.1][x264]-playHD.mkv,Six Days Seven Nights (1998)/Six Days Seven Nights (1998) {tmdb-6068} - [Bluray-1080p][EAC3 5.1][x264]-playHD.mkv,11614967981,10.82,1080p,,,H.264,DD+,,BluRay,,,
Road to Perdition (2002),Road to Perdition (2002) {tmdb-4147} - [Bluray-1080p][AC3 5.1][x264]-EbP.mkv,/mnt/media/Movies/Road to Perdition (2002)/Road to Perdition (2002) {tmdb-4147} - [Bluray-1080p][AC3 5.1][x264]-EbP.mkv,Road to Perdition (2002)/Road to Perdition (2002) {tmdb-4147} - [Bluray-1080p][AC3 5.1][x264]-EbP.mkv,19410812869,18.08,1080p,,,H.264,DD,,BluRay,,,
Death Proof (2007),Death Proof (2007) {tmdb-1991} - [Bluray-1080p][DTS 5.1][x264]-CtrlHD.mkv,/mnt/media/Movies/Death Proof (2007)/Death Proof (2007) {tmdb-1991} - [Bluray-1080p][DTS 5.1][x264]-CtrlHD.mkv,Death Proof (2007)/Death Proof (2007) {tmdb-1991} - [Bluray-1080p][DTS 5.1][x264]-CtrlHD.mkv,8676065154,8.08,1080p,,,H.264,DTS,,BluRay,,,
Flashdance (1983),Flashdance (1983) {tmdb-535} - [Bluray-1080p Proper][EAC3 5.1][DV HDR10][x265]-PTer.mkv,/mnt/media/Movies/Flashdance (1983)/Flashdance (1983) {tmdb-535} - [Bluray-1080p Proper][EAC3 5.1][DV HDR10][x265]-PTer.mkv,Flashdance (1983)/Flashdance (1983) {tmdb-535} - [Bluray-1080p Proper][EAC3 5.1][DV HDR10][x265]-PTer.mkv,17061295612,15.89,1080p,,,H.265,DD+,DV HDR10,BluRay,,,
Catch.44 (2011),Catch.44 (2011) {tmdb-75736} - [Bluray-1080p][DTS 5.1][x264]-HDMaNiAcS.mkv,/mnt/media/Movies/Catch.44 (2011)/Catch.44 (2011) {tmdb-75736} - [Bluray-1080p][DTS 5.1][x264]-HDMaNiAcS.mkv,Catch.44 (2011)/Catch.44 (2011) {tmdb-75736} - [Bluray-1080p][DTS 5.1][x264]-HDMaNiAcS.mkv,7048628670,6.56,1080p,,,H.264,DTS,,BluRay,,,
Air Force One (1997),Air Force One (1997) {tmdb-9772} - [Bluray-1080p Proper][EAC3 7.1][DV HDR10][x265]-c0kE.mkv,/mnt/media/Movies/Air Force One (1997)/Air Force One (1997) {tmdb-9772} - [Bluray-1080p Proper][EAC3 7.1][DV HDR10][x265]-c0kE.mkv,Air Force One (1997)/Air Force One (1997) {tmdb-9772} - [Bluray-1080p Proper][EAC3 7.1][DV HDR10][x265]-c0kE.mkv,21175859159,19.72,1080p,,,H.265,DD+,DV HDR10,BluRay,,,
Knocked Up (2007),Knocked Up (2007) {tmdb-4964} - {edition-Unrated} [Bluray-1080p][AC3 5.1][x264]-CtrlHD.mkv,/mnt/media/Movies/Knocked Up (2007)/Knocked Up (2007) {tmdb-4964} - {edition-Unrated} [Bluray-1080p][AC3 5.1][x264]-CtrlHD.mkv,Knocked Up (2007)/Knocked Up (2007) {tmdb-4964} - {edition-Unrated} [Bluray-1080p][AC3 5.1][x264]-CtrlHD.mkv,15282090232,14.23,1080p,,,H.264,DD,,BluRay,,,
Fifty Shades Darker (2017),Fifty Shades Darker (2017) {tmdb-341174} - {edition-Unrated} [Bluray-1080p][AC3 5.1][x264]-DON.mkv,/mnt/media/Movies/Fifty Shades Darker (2017)/Fifty Shades Darker (2017) {tmdb-341174} - {edition-Unrated} [Bluray-1080p][AC3 5.1][x264]-DON.mkv,Fifty Shades Darker (2017)/Fifty Shades Darker (2017) {tmdb-341174} - {edition-Unrated} [Bluray-1080p][AC3 5.1][x264]-DON.mkv,15832090234,14.74,1080p,,,H.264,DD,,BluRay,,,
Alpha (2018),Alpha (2018) {tmdb-399360} - {edition-Directors Cut} [Bluray-1080p][AC3 5.1][x264]-DON.mkv,/mnt/media/Movies/Alpha (2018)/Alpha (2018) {tmdb-399360} - {edition-Directors Cut} [Bluray-1080p][AC3 5.1][x264]-DON.mkv,Alpha (2018)/Alpha (2018) {tmdb-399360} - {edition-Directors Cut} [Bluray-1080p][AC3 5.1][x264]-DON.mkv,9505985301,8.85,1080p,,,H.264,DD,,BluRay,,,
