title,filename,path,relative_path,size_bytes,size_gb,resolution,width,height,video_codec,audio_codec,hdr,source,group,duration_minutes,bitrate_mbps
The Butcher Boy (1998),The Butcher Boy (1998) {tmdb-22797} - [AMZN][WEBDL-1080p][EAC3 2.0][x264]-ABM.mkv,/mnt/synology/rs-movies/The Butcher Boy (1998)/The Butcher Boy (1998) {tmdb-22797} - [AMZN][WEBDL-1080p][EAC3 2.0][x264]-ABM.mkv,The Butcher Boy (1998)/The Butcher Boy (1998) {tmdb-22797} - [AMZN][WEBDL-1080p][EAC3 2.0][x264]-ABM.mkv,8864547540,8.26,1080p,,,H.264,DD+,,WEB-DL,,,
Minions (2015),Minions (2015) {tmdb-211672} - [Bluray-1080p][DTS 5.1][x264].mkv,/mnt/synology/rs-movies/Minions (2015)/Minions (2015) {tmdb-211672} - [Bluray-1080p][DTS 5.1][x264].mkv,Minions (2015)/Minions (2015) {tmdb-211672} - [Bluray-1080p][DTS 5.1][x264].mkv,8535383691,7.95,1080p,,,H.264,DTS,,BluRay,,,
The Departed (2006),The Departed (2006) {tmdb-1422} - [Bluray-1080p][DTS 5.1][x264]-D-Z0N3.mkv,/mnt/synology/rs-movies/The Departed (2006)/The Departed (2006) {tmdb-1422} - [Bluray-1080p][DTS 5.1][x264]-D-Z0N3.mkv,The Departed (2006)/The Departed (2006) {tmdb-1422} - [Bluray-1080p][DTS 5.1][x264]-D-Z0N3.mkv,14053713880,13.09,1080p,,,H.264,DTS,,BluRay,,,
The Babadook (2014),The Babadook (2014) {tmdb-242224} - [Bluray-1080p][DTS 5.1][x264].mkv,/mnt/synology/rs-movies/The Babadook (2014)/The Babadook (2014) {tmdb-242224} - [Bluray-1080p][DTS 5.1][x264].mkv,The Babadook (2014)/The Babadook (2014) {tmdb-242224} - [Bluray-1080p][DTS 5.1][x264].mkv,12736364715,11.86,1080p,,,H.264,DTS,,BluRay,,,
Spy (2015),Spy (2015) {imdb-tt3079380} [Bluray-720p][DTS 5.1][x264].mkv,/mnt/synology/rs-movies/Spy (2015)/Spy (2015) {imdb-tt3079380} [Bluray-720p][DTS 5.1][x264].mkv,Spy (2015)/Spy (2015) {imdb-tt3079380} [Bluray-720p][DTS 5.1][x264].mkv,4684428643,4.36,720p,,,H.264,DTS,,BluRay,,,
Spy (2015),Spy (2015) {tmdb-238713} - {edition-Extended Cut} [Bluray-1080p][DTS-ES 5.1][x264]-DON.mkv,/mnt/synology/rs-movies/Spy (2015)/Spy (2015) {tmdb-238713} - {edition-Extended Cut} [Bluray-1080p][DTS-ES 5.1][x264]-DON.mkv,Spy (2015)/Spy (2015) {tmdb-238713} - {edition-Extended Cut} [Bluray-1080p][DTS-ES 5.1][x264]-DON.mkv,15458337759,14.4,1080p,,,H.264,DTS,,BluRay,,,
The Hateful Eight (2015),The Hateful Eight (2015) {tmdb-273248} - [Bluray-1080p][AC3 5.1][x264]-SA89.mkv,/mnt/synology/rs-movies/The Hateful Eight (2015)/The Hateful Eight (2015) {tmdb-273248} - [Bluray-1080p][AC3 5.1][x264]-SA89.mkv,The Hateful Eight (2015)/The Hateful Eight (2015) {tmdb-273248} - [Bluray-1080p][AC3 5.1][x264]-SA89.mkv,12190397338,11.35,1080p,,,H.264,DD,,BluRay,,,
Teen Wolf (1985),Teen Wolf (1985) {tmdb-11824} - [Bluray-1080p][DTS-HD MA 2.0][x264]-BARC0DE.mkv,/mnt/synology/rs-movies/Teen Wolf (1985)/Teen Wolf (1985) {tmdb-11824} - [Bluray-1080p][DTS-HD MA 2.0][x264]-BARC0DE.mkv,Teen Wolf (1985)/Teen Wolf (1985) {tmdb-11824} - [Bluray-1080p][DTS-HD MA 2.0][x264]-BARC0DE.mkv,7377451026,6.87,1080p,,,H.264,DTS-HD,,BluRay,,,
Gaia (2021),Gaia (2021) {tmdb-795853} - [AMZN][WEBDL-1080p][EAC3 5.1][h264]-TEPES.mkv,/mnt/synology/rs-movies/Gaia (2021)/Gaia (2021) {tmdb-795853} - [AMZN][WEBDL-1080p][EAC3 5.1][h264]-TEPES.mkv,Gaia (2021)/Gaia (2021) {tmdb-795853} - [AMZN][WEBDL-1080p][EAC3 5.1][h264]-TEPES.mkv,6175081271,5.75,1080p,,,H.264,DD+,,WEB-DL,,,
They Live in the Grey (2022),They Live in the Grey (2022) {tmdb-892771} - [AMZN][WEBDL-1080p][EAC3 2.0][h264]-EVO.mkv,/mnt/synology/rs-movies/They Live in the Grey (2022)/They Live in the Grey (2022) {tmdb-892771} - [AMZN][WEBDL-1080p][EAC3 2.0][h264]-EVO.mkv,They Live in the Grey (2022)/They Live in the Grey (2022) {tmdb-892771} - [AMZN][WEBDL-1080p][EAC3 2.0][h264]-EVO.mkv,8609696945,8.02,1080p,,,H.264,DD+,,WEB-DL,,,
