title,filename,path,size_bytes,size_gb,resolution,width,height,video_codec,audio_codec,hdr,source,group,duration_minutes,bitrate_mbps
Analyze That (2002),Analyze That (2002) {imdb-tt0289848} [Bluray-1080p][AC3 5.1][x264]-BHDStudio.mp4,/mnt/media/Movies/Analyze That (2002)/Analyze That (2002) {imdb-tt0289848} [Bluray-1080p][AC3 5.1][x264]-BHDStudio.mp4,6137722613,5.72,1080p,1920,1080,H.264,DD,,BluRay,,95.8,8.54
Grumpy Old Men (1993),Grumpy Old Men (1993) {imdb-tt0107050} [Bluray-1080p][AC3 2.0][x264]-BHDStudio.mp4,/mnt/media/Movies/Grumpy Old Men (1993)/Grumpy Old Men (1993) {imdb-tt0107050} [Bluray-1080p][AC3 2.0][x264]-BHDStudio.mp4,6465700126,6.02,1080p,1920,1080,H.264,DD,,BluRay,,103.5,8.33
Katy Perry Part of Me (2012),Katy.Perry.Part.of.Me.2012.BluRay.1080p.DD.5.1.x264-BHDStudio.mp4,/mnt/media/Movies/Katy Perry Part of Me (2012)/Katy.Perry.Part.of.Me.2012.BluRay.1080p.DD.5.1.x264-BHDStudio.mp4,6002839746,5.59,1080p,1920,1080,H.264,DD,,BluRay,,93.5,8.56
Cooties (2014),Cooties (2014) {imdb-tt2490326} [Bluray-1080p][AC3 5.1][x264]-BHDStudio.mp4,/mnt/media/Movies/Cooties (2014)/Cooties (2014) {imdb-tt2490326} [Bluray-1080p][AC3 5.1][x264]-BHDStudio.mp4,5677203918,5.29,1080p,1920,800,H.264,DD,,BluRay,,88.4,8.56
Revolver (2005),Revolver (2005) {imdb-tt0365686} {edition-Directors Cut} [Bluray-1080p][AC3 5.1][x264]-BHDStudio.mp4,/mnt/media/Movies/Revolver (2005)/Revolver (2005) {imdb-tt0365686} {edition-Directors Cut} [Bluray-1080p][AC3 5.1][x264]-BHDStudio.mp4,6694679689,6.23,1080p,1916,816,H.264,DD,,BluRay,,104.5,8.55
The Rebound (2009),The Rebound (2009) {imdb-tt1205535} [Bluray-1080p][AC3 5.1][x264]-BHDStudio.mp4,/mnt/media/Movies/The Rebound (2009)/The Rebound (2009) {imdb-tt1205535} [Bluray-1080p][AC3 5.1][x264]-BHDStudio.mp4,6051994536,5.64,1080p,1920,816,H.264,DD,,BluRay,,94.5,8.53
Who Am I! (1998),Who.Am.I.1998.BluRay.1080p.DD.2.0.x264-BHDStudio.mp4,/mnt/media/Movies/Who Am I! (1998)/Who.Am.I.1998.BluRay.1080p.DD.2.0.x264-BHDStudio.mp4,6798778280,6.33,1080p,1920,1080,H.264,DD,,BluRay,,108.0,8.39
"New York, I Love You (2009)",New York I Love You (2008) {imdb-tt0808399} [Bluray-1080p][AC3 5.1][x264]-BHDStudio.mp4,"/mnt/media/Movies/New York, I Love You (2009)/New York I Love You (2008) {imdb-tt0808399} [Bluray-1080p][AC3 5.1][x264]-BHDStudio.mp4",6488719275,6.04,1080p,1920,1080,H.264,DD,,BluRay,,103.3,8.38
Elizabeth The Golden Age (2007),Elizabeth The Golden Age (2007) {imdb-tt0414055} [Bluray-1080p][AC3 5.1][x264]-BHDStudio.mp4,/mnt/media/Movies/Elizabeth The Golden Age (2007)/Elizabeth The Golden Age (2007) {imdb-tt0414055} [Bluray-1080p][AC3 5.1][x264]-BHDStudio.mp4,7396704843,6.89,1080p,1920,1040,H.264,DD,,BluRay,,114.9,8.59
Jerome Bixby's The Man from Earth (2007),The Man from Earth (2007) {imdb-tt0756683} [Bluray-1080p][AC3 5.1][x264].mp4,/mnt/media/Movies/Jerome Bixby's The Man from Earth (2007)/The Man from Earth (2007) {imdb-tt0756683} [Bluray-1080p][AC3 5.1][x264].mp4,11562273633,10.77,1080p,1920,1080,H.264,DD,,BluRay,,87.1,17.69
