title,filename,path,size_bytes,size_gb,resolution,width,height,video_codec,audio_codec,hdr,source,group,duration_minutes,bitrate_mbps
Minions (2015),Minions (2015) {imdb-tt2293640} [Bluray-1080p][DTS 5.1][x264].mkv,/mnt/synology/rs-movies/Minions (2015)/Minions (2015) {imdb-tt2293640} [Bluray-1080p][DTS 5.1][x264].mkv,8535383691,7.95,1080p,1920.0,1038.0,H.264,DTS,,BluRay,,91.0,12.51
The Departed (2006),The Departed (2006) {imdb-tt0407887} [Bluray-1080p][DTS 5.1][x264]-D-Z0N3.mkv,/mnt/synology/rs-movies/The Departed (2006)/The Departed (2006) {imdb-tt0407887} [Bluray-1080p][DTS 5.1][x264]-D-Z0N3.mkv,14053713880,13.09,1080p,1920.0,798.0,H.264,DTS,,BluRay,,151.4,12.37
The Babadook (2014),The Babadook (2014) {imdb-tt2321549} [Bluray-1080p][DTS 5.1][x264].mkv,/mnt/synology/rs-movies/The Babadook (2014)/The Babadook (2014) {imdb-tt2321549} [Bluray-1080p][DTS 5.1][x264].mkv,12736364715,11.86,1080p,1918.0,814.0,H.264,DTS,,BluRay,,93.8,18.11
Spy (2015),Spy (2015) {imdb-tt3079380} [Bluray-720p][DTS 5.1][x264].mkv,/mnt/synology/rs-movies/Spy (2015)/Spy (2015) {imdb-tt3079380} [Bluray-720p][DTS 5.1][x264].mkv,4684428643,4.36,720p,1280.0,536.0,H.264,DTS,,BluRay,,93.2,6.7
Spy (2015),Spy (2015) {imdb-tt3079380} {edition-Extended Cut} [Bluray-1080p][DTS-ES 5.1][x264]-DON.mkv,/mnt/synology/rs-movies/Spy (2015)/Spy (2015) {imdb-tt3079380} {edition-Extended Cut} [Bluray-1080p][DTS-ES 5.1][x264]-DON.mkv,15458337759,14.4,1080p,1920.0,804.0,H.264,DTS,,BluRay,,130.4,15.81
Teen Wolf (1985),Teen Wolf (1985) {imdb-tt0090142} [Bluray-1080p][DTS-HD MA 2.0][x264]-BARC0DE.mkv,/mnt/synology/rs-movies/Teen Wolf (1985)/Teen Wolf (1985) {imdb-tt0090142} [Bluray-1080p][DTS-HD MA 2.0][x264]-BARC0DE.mkv,7377451026,6.87,1080p,1920.0,1040.0,H.264,DTS-HD,,BluRay,,92.3,10.65
Gaia (2021),Gaia (2021) {imdb-tt11881160} [AMZN][WEBDL-1080p][EAC3 5.1][h264]-TEPES.mkv,/mnt/synology/rs-movies/Gaia (2021)/Gaia (2021) {imdb-tt11881160} [AMZN][WEBDL-1080p][EAC3 5.1][h264]-TEPES.mkv,6175081271,5.75,1080p,1920.0,1080.0,H.264,DD+,,WEB-DL,,96.6,8.52
They Live in the Grey (2022),They Live in the Grey (2022) {imdb-tt10631148} [AMZN][WEBDL-1080p][EAC3 2.0][h264]-EVO.mkv,/mnt/synology/rs-movies/They Live in the Grey (2022)/They Live in the Grey (2022) {imdb-tt10631148} [AMZN][WEBDL-1080p][EAC3 2.0][h264]-EVO.mkv,8609696945,8.02,1080p,1920.0,800.0,H.264,DD+,,WEB-DL,,123.6,9.29
Argylle (2024),Argylle (2024) {imdb-tt15009428} [WEBDL-1080p][EAC3 5.1][h264]-SupermanPeacemakerWalterWhite.mkv,/mnt/synology/rs-movies/Argylle (2024)/Argylle (2024) {imdb-tt15009428} [WEBDL-1080p][EAC3 5.1][h264]-SupermanPeacemakerWalterWhite.mkv,9884536679,9.21,1080p,1920.0,800.0,H.264,DD+,,WEB-DL,,139.0,9.48
The Boss (2016),The Boss (2016) {imdb-tt2702724} [Bluray-720p][DTS 5.1][x264].mkv,/mnt/synology/rs-movies/The Boss (2016)/The Boss (2016) {imdb-tt2702724} [Bluray-720p][DTS 5.1][x264].mkv,5865665454,5.46,720p,1280.0,688.0,H.264,DTS,,BluRay,,104.2,7.5
Our Little Secret (2024),Our Little Secret (2024) {imdb-tt31022050} [NF][WEBDL-1080p][EAC3 Atmos 5.1][x264]-Kitsune.mkv,/mnt/synology/rs-movies/Our Little Secret (2024)/Our Little Secret (2024) {imdb-tt31022050} [NF][WEBDL-1080p][EAC3 Atmos 5.1][x264]-Kitsune.mkv,4260096532,3.97,1080p,1920.0,1080.0,H.264,DD+,,WEB-DL,,101.1,5.62
"Grandmother, The (2022)",La Abuela (The Grandmother) (2022) {imdb-tt11807888} [Bluray-1080p][EAC3 5.1][x264]-iFT.mkv,"/mnt/synology/rs-movies/Grandmother, The (2022)/La Abuela (The Grandmother) (2022) {imdb-tt11807888} [Bluray-1080p][EAC3 5.1][x264]-iFT.mkv",13554774623,12.62,1080p,1920.0,1038.0,H.264,DD+,,BluRay,,100.3,18.01
Setup (2011),Setup (2011) {imdb-tt1748197} [Bluray-720p][DTS 5.1][x264].mkv,/mnt/synology/rs-movies/Setup (2011)/Setup (2011) {imdb-tt1748197} [Bluray-720p][DTS 5.1][x264].mkv,3507358384,3.27,720p,1280.0,536.0,H.264,DTS,,BluRay,,84.9,5.51
