title,filename,path,relative_path,size_bytes,size_gb,resolution,width,height,video_codec,audio_codec,hdr,source,group,duration_minutes,bitrate_mbps
300 (2006),300.2006.UHD.BluRay.2160p.TrueHD.Atmos.7.1.HEVC.REMUX-FraMeSToR.mkv,/mnt/synology/rs-4kmedia/4kmovies/300 (2006)/300.2006.UHD.BluRay.2160p.TrueHD.Atmos.7.1.HEVC.REMUX-FraMeSToR.mkv,300 (2006)/300.2006.UHD.BluRay.2160p.TrueHD.Atmos.7.1.HEVC.REMUX-FraMeSToR.mkv,56679095113,52.79,2160p,3840,2160,H.265,TrueHD Atmos,,Remux,,116.6,64.79
1917 (2019),1917.2019.2160p.UHD.Blu-ray.Atmos.x265 - HQMUX.mkv,/mnt/synology/rs-4kmedia/4kmovies/1917 (2019)/1917.2019.2160p.UHD.Blu-ray.Atmos.x265 - HQMUX.mkv,1917 (2019)/1917.2019.2160p.UHD.Blu-ray.Atmos.x265 - HQMUX.mkv,34041897267,31.7,2160p,3840,1600,H.265,,,BluRay,,119.0,38.14
2001 A Space Odyssey (1968),2001.A.Space.Odyssey.1968.REPACK.2160p.UHD.BluRay.REMUX.HDR.HEVC.DTS-HD.MA.5.1-EPSiLON.mkv,/mnt/synology/rs-4kmedia/4kmovies/2001 A Space Odyssey (1968)/2001.A.Space.Odyssey.1968.REPACK.2160p.UHD.BluRay.REMUX.HDR.HEVC.DTS-HD.MA.5.1-EPSiLON.mkv,2001 A Space Odyssey (1968)/2001.A.Space.Odyssey.1968.REPACK.2160p.UHD.BluRay.REMUX.HDR.HEVC.DTS-HD.MA.5.1-EPSiLON.mkv,74945854385,69.8,2160p,3840,2160,H.265,DTS-HD MA,HDR,Remux,,148.8,67.15
A Beautiful Planet (2016),A.Beautiful.Planet.2016.2160p.UHD.BluRay.REMUX.HDR.HEVC.DTS-X-EPSiLON.mkv,/mnt/synology/rs-4kmedia/4kmovies/A Beautiful Planet (2016)/A.Beautiful.Planet.2016.2160p.UHD.BluRay.REMUX.HDR.HEVC.DTS-X-EPSiLON.mkv,A Beautiful Planet (2016)/A.Beautiful.Planet.2016.2160p.UHD.BluRay.REMUX.HDR.HEVC.DTS-X-EPSiLON.mkv,18605757956,17.33,2160p,3840,2160,H.265,DTS:X,HDR,Remux,,46.3,53.6
Ad Astra (2019),Ad Astra (2019) Remux-2160p.mkv,/mnt/synology/rs-4kmedia/4kmovies/Ad Astra (2019)/Ad Astra (2019) Remux-2160p.mkv,Ad Astra (2019)/Ad Astra (2019) Remux-2160p.mkv,49566136891,46.16,2160p,3840,2160,H.265,,DV,Remux,,123.0,53.71
Alien (1979),Alien.1979.2160p.Director.Cut.UHD.HDR10+Remux.DTS-HD.MA5.1-SHD.mkv,/mnt/synology/rs-4kmedia/4kmovies/Alien (1979)/Alien.1979.2160p.Director.Cut.UHD.HDR10+Remux.DTS-HD.MA5.1-SHD.mkv,Alien (1979)/Alien.1979.2160p.Director.Cut.UHD.HDR10+Remux.DTS-HD.MA5.1-SHD.mkv,47088697231,43.85,2160p,3840,2160,H.265,DTS-HD MA,HDR10+,Remux,,115.8,54.2
Alien (1979),Alien.1979.DC.2160p.UHD.BluRay.X265-IAMABLE.mkv,/mnt/synology/rs-4kmedia/4kmovies/Alien (1979)/Alien.1979.DC.2160p.UHD.BluRay.X265-IAMABLE.mkv,Alien (1979)/Alien.1979.DC.2160p.UHD.BluRay.X265-IAMABLE.mkv,24946091901,23.23,2160p,3840,1600,H.265,,,BluRay,,115.8,28.72
Alien Romulus (2024),Alien Romulus (2024) {imdb-tt18412256} [WEBDL-2160p][DV HDR10Plus][EAC3 Atmos 5.1][h265]-FLUX.mkv,/mnt/synology/rs-4kmedia/4kmovies/Alien Romulus (2024)/Alien Romulus (2024) {imdb-tt18412256} [WEBDL-2160p][DV HDR10Plus][EAC3 Atmos 5.1][h265]-FLUX.mkv,Alien Romulus (2024)/Alien Romulus (2024) {imdb-tt18412256} [WEBDL-2160p][DV HDR10Plus][EAC3 Atmos 5.1][h265]-FLUX.mkv,22572936253,21.02,2160p,3840,1606,H.265,DD+,DV HDR10,WEB-DL,,118.9,25.31
Aliens (1986),Aliens (1986) {imdb-tt0090605} {edition-Special Edition} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,/mnt/synology/rs-4kmedia/4kmovies/Aliens (1986)/Aliens (1986) {imdb-tt0090605} {edition-Special Edition} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,Aliens (1986)/Aliens (1986) {imdb-tt0090605} {edition-Special Edition} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,56481561613,52.6,2160p,3840,2072,H.265,TrueHD,DV HDR10,BluRay,,154.5,48.75
Alita Battle Angel (2019),Alita Battle Angel 2019 REPACK 2160p UHD BluRay HDR10+ TrueHD Atmos 7.1 x265-DON.mkv,/mnt/synology/rs-4kmedia/4kmovies/Alita Battle Angel (2019)/Alita Battle Angel 2019 REPACK 2160p UHD BluRay HDR10+ TrueHD Atmos 7.1 x265-DON.mkv,Alita Battle Angel (2019)/Alita Battle Angel 2019 REPACK 2160p UHD BluRay HDR10+ TrueHD Atmos 7.1 x265-DON.mkv,31571701225,29.4,2160p,3840,1608,H.265,TrueHD,HDR10+,BluRay,,122.0,34.52
Ant-Man (2015),Ant-Man (2015) {imdb-tt0478970} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,/mnt/synology/rs-4kmedia/4kmovies/Ant-Man (2015)/Ant-Man (2015) {imdb-tt0478970} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,Ant-Man (2015)/Ant-Man (2015) {imdb-tt0478970} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,19207971893,17.89,2160p,3840,2076,H.265,TrueHD,DV HDR10,BluRay,,117.1,21.87
Ant-Man and the Wasp (2018),Ant-Man and the Wasp (2018) {imdb-tt5095030} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,/mnt/synology/rs-4kmedia/4kmovies/Ant-Man and the Wasp (2018)/Ant-Man and the Wasp (2018) {imdb-tt5095030} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,Ant-Man and the Wasp (2018)/Ant-Man and the Wasp (2018) {imdb-tt5095030} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,22279565978,20.75,2160p,3840,1608,H.265,TrueHD,DV HDR10,BluRay,,118.2,25.14
Ant-Man and the Wasp Quantumania (2023),Ant-Man and the Wasp Quantumania (2023) {imdb-tt10954600} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-SPHD.mkv,/mnt/synology/rs-4kmedia/4kmovies/Ant-Man and the Wasp Quantumania (2023)/Ant-Man and the Wasp Quantumania (2023) {imdb-tt10954600} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-SPHD.mkv,Ant-Man and the Wasp Quantumania (2023)/Ant-Man and the Wasp Quantumania (2023) {imdb-tt10954600} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-SPHD.mkv,35845429655,33.38,2160p,3840,1608,H.265,TrueHD,DV HDR10,BluRay,,124.5,38.39
Apocalypse Now (1979),Apocalypse.Now.1979.Redux.2160p.UHD.BluRay.x265-JustWatch.mkv,/mnt/synology/rs-4kmedia/4kmovies/Apocalypse Now (1979)/Apocalypse.Now.1979.Redux.2160p.UHD.BluRay.x265-JustWatch.mkv,Apocalypse Now (1979)/Apocalypse.Now.1979.Redux.2160p.UHD.BluRay.x265-JustWatch.mkv,38708906198,36.05,2160p,3840,1608,H.265,,,BluRay,,196.1,26.32
Apollo 13 (1995),Apollo 13 (1995) Remux-2160p.mkv,/mnt/synology/rs-4kmedia/4kmovies/Apollo 13 (1995)/Apollo 13 (1995) Remux-2160p.mkv,Apollo 13 (1995)/Apollo 13 (1995) Remux-2160p.mkv,46451106405,43.26,2160p,3840,2160,H.265,,,Remux,,139.9,44.29
Army of the Dead (2021),Army.of.the.Dead.2021.2160p.HDR.NF.WEBRip.DDP.Atmos.5.1.x265-TrollUHD-FZ.mkv,/mnt/synology/rs-4kmedia/4kmovies/Army of the Dead (2021)/Army.of.the.Dead.2021.2160p.HDR.NF.WEBRip.DDP.Atmos.5.1.x265-TrollUHD-FZ.mkv,Army of the Dead (2021)/Army.of.the.Dead.2021.2160p.HDR.NF.WEBRip.DDP.Atmos.5.1.x265-TrollUHD-FZ.mkv,19719614305,18.37,2160p,3840,2160,H.265,DD,HDR,WEBRip,,148.4,17.72
