title,filename,path,relative_path,size_bytes,size_gb,resolution,width,height,video_codec,audio_codec,hdr,source,group,duration_minutes,bitrate_mbps
Band of Brothers (2001),Band of Brothers (2001) - S01E01 - Currahee [Bluray-2160p][DTS-HD MA 5.1][HEVC]-R.mkv,/mnt/synology/rs-4kmedia/4ktv/#recycle/Band of Brothers (2001)/Season 01/Band of Brothers (2001) - S01E01 - Currahee [Bluray-2160p][DTS-HD MA 5.1][HEVC]-R.mkv,#recycle/Band of Brothers (2001)/Season 01/Band of Brothers (2001) - S01E01 - Currahee [Bluray-2160p][DTS-HD MA 5.1][HEVC]-R.mkv,0,0.0,2160p,,,H.265,DTS-HD,,BluRay,,,
Band of Brothers (2001),Band of Brothers (2001) - S01E01 - Currahee [Bluray-2160p][DTS-HD MA 5.1][HEVC]-R.mkv,/mnt/synology/rs-4kmedia/4ktv/Band of Brothers (2001)/Season 01/Band of Brothers (2001) - S01E01 - Currahee [Bluray-2160p][DTS-HD MA 5.1][HEVC]-R.mkv,Band of Brothers (2001)/Season 01/Band of Brothers (2001) - S01E01 - Currahee [Bluray-2160p][DTS-HD MA 5.1][HEVC]-R.mkv,22851061693,21.28,2160p,3840.0,2160.0,H.265,DTS-HD,,BluRay,,73.2,41.61
Band of Brothers (2001),Band of Brothers (2001) - S01E02 - Day of Days [Bluray-2160p][DTS-HD MA 5.1][HEVC]-R.mkv,/mnt/synology/rs-4kmedia/4ktv/Band of Brothers (2001)/Season 01/Band of Brothers (2001) - S01E02 - Day of Days [Bluray-2160p][DTS-HD MA 5.1][HEVC]-R.mkv,Band of Brothers (2001)/Season 01/Band of Brothers (2001) - S01E02 - Day of Days [Bluray-2160p][DTS-HD MA 5.1][HEVC]-R.mkv,16372005663,15.25,2160p,3840.0,2160.0,H.265,DTS-HD,,BluRay,,52.0,41.96
Band of Brothers (2001),Band of Brothers (2001) - S01E03 - Carentan [Bluray-2160p][DTS-HD MA 5.1][HEVC]-R.mkv,/mnt/synology/rs-4kmedia/4ktv/Band of Brothers (2001)/Season 01/Band of Brothers (2001) - S01E03 - Carentan [Bluray-2160p][DTS-HD MA 5.1][HEVC]-R.mkv,Band of Brothers (2001)/Season 01/Band of Brothers (2001) - S01E03 - Carentan [Bluray-2160p][DTS-HD MA 5.1][HEVC]-R.mkv,20603975152,19.19,2160p,3840.0,2160.0,H.265,DTS-HD,,BluRay,,65.3,42.04
Band of Brothers (2001),Band of Brothers (2001) - S01E04 - Replacements [Bluray-2160p][DTS-HD MA 5.1][HEVC]-R.mkv,/mnt/synology/rs-4kmedia/4ktv/Band of Brothers (2001)/Season 01/Band of Brothers (2001) - S01E04 - Replacements [Bluray-2160p][DTS-HD MA 5.1][HEVC]-R.mkv,Band of Brothers (2001)/Season 01/Band of Brothers (2001) - S01E04 - Replacements [Bluray-2160p][DTS-HD MA 5.1][HEVC]-R.mkv,18761573338,17.47,2160p,3840.0,2160.0,H.265,DTS-HD,,BluRay,,59.7,41.9
Band of Brothers (2001),Band of Brothers (2001) - S01E05 - Crossroads [Bluray-2160p][DTS-HD MA 5.1][HEVC]-R.mkv,/mnt/synology/rs-4kmedia/4ktv/Band of Brothers (2001)/Season 01/Band of Brothers (2001) - S01E05 - Crossroads [Bluray-2160p][DTS-HD MA 5.1][HEVC]-R.mkv,Band of Brothers (2001)/Season 01/Band of Brothers (2001) - S01E05 - Crossroads [Bluray-2160p][DTS-HD MA 5.1][HEVC]-R.mkv,17528984707,16.33,2160p,3840.0,2160.0,H.265,DTS-HD,,BluRay,,55.7,41.97
Band of Brothers (2001),Band of Brothers (2001) - S01E06 - Bastogne [Bluray-2160p][DTS-HD MA 5.1][HEVC]-R.mkv,/mnt/synology/rs-4kmedia/4ktv/Band of Brothers (2001)/Season 01/Band of Brothers (2001) - S01E06 - Bastogne [Bluray-2160p][DTS-HD MA 5.1][HEVC]-R.mkv,Band of Brothers (2001)/Season 01/Band of Brothers (2001) - S01E06 - Bastogne [Bluray-2160p][DTS-HD MA 5.1][HEVC]-R.mkv,21168797414,19.71,2160p,3840.0,2160.0,H.265,DTS-HD,,BluRay,,67.3,41.92
Band of Brothers (2001),Band of Brothers (2001) - S01E07 - The Breaking Point [Bluray-2160p][DTS-HD MA 5.1][HEVC]-R.mkv,/mnt/synology/rs-4kmedia/4ktv/Band of Brothers (2001)/Season 01/Band of Brothers (2001) - S01E07 - The Breaking Point [Bluray-2160p][DTS-HD MA 5.1][HEVC]-R.mkv,Band of Brothers (2001)/Season 01/Band of Brothers (2001) - S01E07 - The Breaking Point [Bluray-2160p][DTS-HD MA 5.1][HEVC]-R.mkv,23126931697,21.54,2160p,3840.0,2160.0,H.265,DTS-HD,,BluRay,,72.8,42.33
Band of Brothers (2001),Band of Brothers (2001) - S01E08 - The Last Patrol [Bluray-2160p][DTS-HD MA 5.1][HEVC]-R.mkv,/mnt/synology/rs-4kmedia/4ktv/Band of Brothers (2001)/Season 01/Band of Brothers (2001) - S01E08 - The Last Patrol [Bluray-2160p][DTS-HD MA 5.1][HEVC]-R.mkv,Band of Brothers (2001)/Season 01/Band of Brothers (2001) - S01E08 - The Last Patrol [Bluray-2160p][DTS-HD MA 5.1][HEVC]-R.mkv,18624279612,17.35,2160p,3840.0,2160.0,H.265,DTS-HD,,BluRay,,59.0,42.09
Band of Brothers (2001),Band of Brothers (2001) - S01E09 - Why We Fight [Bluray-2160p][DTS-HD MA 5.1][HEVC]-R.mkv,/mnt/synology/rs-4kmedia/4ktv/Band of Brothers (2001)/Season 01/Band of Brothers (2001) - S01E09 - Why We Fight [Bluray-2160p][DTS-HD MA 5.1][HEVC]-R.mkv,Band of Brothers (2001)/Season 01/Band of Brothers (2001) - S01E09 - Why We Fight [Bluray-2160p][DTS-HD MA 5.1][HEVC]-R.mkv,18234784774,16.98,2160p,3840.0,2160.0,H.265,DTS-HD,,BluRay,,58.2,41.78
Band of Brothers (2001),Band of Brothers (2001) - S01E10 - Points [Bluray-2160p][DTS-HD MA 5.1][HEVC]-R.mkv,/mnt/synology/rs-4kmedia/4ktv/Band of Brothers (2001)/Season 01/Band of Brothers (2001) - S01E10 - Points [Bluray-2160p][DTS-HD MA 5.1][HEVC]-R.mkv,Band of Brothers (2001)/Season 01/Band of Brothers (2001) - S01E10 - Points [Bluray-2160p][DTS-HD MA 5.1][HEVC]-R.mkv,19755440152,18.4,2160p,3840.0,2160.0,H.265,DTS-HD,,BluRay,,62.2,42.32
Masters Of The Air (2024),Masters Of The Air (2024) - S01E01 - Part One [[Trash] Release Sources (Streaming Service)_14_1 Release Sources (Streaming Service)_11_0 Release Sources (Streaming Service)_17_0 WEBDL-2160p][DV HDR10Plus][EAC3 Atmos 5.1][h265]-FLUX.mkv,/mnt/synology/rs-4kmedia/4ktv/Masters Of The Air (2024)/Season 01/Masters Of The Air (2024) - S01E01 - Part One [[Trash] Release Sources (Streaming Service)_14_1 Release Sources (Streaming Service)_11_0 Release Sources (Streaming Service)_17_0 WEBDL-2160p][DV HDR10Plus][EAC3 Atmos 5.1][h265]-FLUX.mkv,Masters Of The Air (2024)/Season 01/Masters Of The Air (2024) - S01E01 - Part One [[Trash] Release Sources (Streaming Service)_14_1 Release Sources (Streaming Service)_11_0 Release Sources (Streaming Service)_17_0 WEBDL-2160p][DV HDR10Plus][EAC3 Atmos 5.1][h265]-FLUX.mkv,11243966994,10.47,2160p,3840.0,1606.0,H.265,DD+,DV HDR10,WEB-DL,,62.4,24.01
Masters Of The Air (2024),Masters Of The Air (2024) - S01E02 - Part Two [[Trash] Release Sources (Streaming Service)_14_1 Release Sources (Streaming Service)_11_0 Release Sources (Streaming Service)_17_0 WEBDL-2160p][DV HDR10Plus][EAC3 Atmos 5.1][h265]-FLUX.mkv,/mnt/synology/rs-4kmedia/4ktv/Masters Of The Air (2024)/Season 01/Masters Of The Air (2024) - S01E02 - Part Two [[Trash] Release Sources (Streaming Service)_14_1 Release Sources (Streaming Service)_11_0 Release Sources (Streaming Service)_17_0 WEBDL-2160p][DV HDR10Plus][EAC3 Atmos 5.1][h265]-FLUX.mkv,Masters Of The Air (2024)/Season 01/Masters Of The Air (2024) - S01E02 - Part Two [[Trash] Release Sources (Streaming Service)_14_1 Release Sources (Streaming Service)_11_0 Release Sources (Streaming Service)_17_0 WEBDL-2160p][DV HDR10Plus][EAC3 Atmos 5.1][h265]-FLUX.mkv,9915842128,9.23,2160p,3840.0,1606.0,H.265,DD+,DV HDR10,WEB-DL,,55.9,23.67
Masters Of The Air (2024),Masters Of The Air (2024) - S01E03 - Part Three [[Trash] Release Sources (Streaming Service)_14_1 Release Sources (Streaming Service)_11_0 Release Sources (Streaming Service)_17_0 WEBDL-2160p][DV HDR10Plus][EAC3 Atmos 5.1][h265]-FLUX.mkv,/mnt/synology/rs-4kmedia/4ktv/Masters Of The Air (2024)/Season 01/Masters Of The Air (2024) - S01E03 - Part Three [[Trash] Release Sources (Streaming Service)_14_1 Release Sources (Streaming Service)_11_0 Release Sources (Streaming Service)_17_0 WEBDL-2160p][DV HDR10Plus][EAC3 Atmos 5.1][h265]-FLUX.mkv,Masters Of The Air (2024)/Season 01/Masters Of The Air (2024) - S01E03 - Part Three [[Trash] Release Sources (Streaming Service)_14_1 Release Sources (Streaming Service)_11_0 Release Sources (Streaming Service)_17_0 WEBDL-2160p][DV HDR10Plus][EAC3 Atmos 5.1][h265]-FLUX.mkv,8591898763,8.0,2160p,3840.0,1606.0,H.265,DD+,DV HDR10,WEB-DL,,48.7,23.51
Masters Of The Air (2024),Masters Of The Air (2024) - S01E04 - Part Four [[Trash] Release Sources (Streaming Service)_14_1 Release Sources (Streaming Service)_11_0 Release Sources (Streaming Service)_17_0 WEBDL-2160p][DV HDR10Plus][EAC3 Atmos 5.1][h265]-FLUX.mkv,/mnt/synology/rs-4kmedia/4ktv/Masters Of The Air (2024)/Season 01/Masters Of The Air (2024) - S01E04 - Part Four [[Trash] Release Sources (Streaming Service)_14_1 Release Sources (Streaming Service)_11_0 Release Sources (Streaming Service)_17_0 WEBDL-2160p][DV HDR10Plus][EAC3 Atmos 5.1][h265]-FLUX.mkv,Masters Of The Air (2024)/Season 01/Masters Of The Air (2024) - S01E04 - Part Four [[Trash] Release Sources (Streaming Service)_14_1 Release Sources (Streaming Service)_11_0 Release Sources (Streaming Service)_17_0 WEBDL-2160p][DV HDR10Plus][EAC3 Atmos 5.1][h265]-FLUX.mkv,9169988778,8.54,2160p,3840.0,1606.0,H.265,DD+,DV HDR10,WEB-DL,,52.0,23.49
Masters Of The Air (2024),Masters Of The Air (2024) - S01E05 - Part Five [[Trash] Release Sources (Streaming Service)_14_1 Release Sources (Streaming Service)_11_0 Release Sources (Streaming Service)_17_0 WEBDL-2160p][DV HDR10Plus][EAC3 Atmos 5.1][h265]-FLUX.mkv,/mnt/synology/rs-4kmedia/4ktv/Masters Of The Air (2024)/Season 01/Masters Of The Air (2024) - S01E05 - Part Five [[Trash] Release Sources (Streaming Service)_14_1 Release Sources (Streaming Service)_11_0 Release Sources (Streaming Service)_17_0 WEBDL-2160p][DV HDR10Plus][EAC3 Atmos 5.1][h265]-FLUX.mkv,Masters Of The Air (2024)/Season 01/Masters Of The Air (2024) - S01E05 - Part Five [[Trash] Release Sources (Streaming Service)_14_1 Release Sources (Streaming Service)_11_0 Release Sources (Streaming Service)_17_0 WEBDL-2160p][DV HDR10Plus][EAC3 Atmos 5.1][h265]-FLUX.mkv,9571208230,8.91,2160p,3840.0,1606.0,H.265,DD+,DV HDR10,WEB-DL,,53.7,23.75
Masters Of The Air (2024),Masters Of The Air (2024) - S01E06 - Part Six [[Trash] Release Sources (Streaming Service)_14_1 Release Sources (Streaming Service)_11_0 Release Sources (Streaming Service)_17_0 WEBDL-2160p][DV HDR10Plus][EAC3 Atmos 5.1][h265]-FLUX.mkv,/mnt/synology/rs-4kmedia/4ktv/Masters Of The Air (2024)/Season 01/Masters Of The Air (2024) - S01E06 - Part Six [[Trash] Release Sources (Streaming Service)_14_1 Release Sources (Streaming Service)_11_0 Release Sources (Streaming Service)_17_0 WEBDL-2160p][DV HDR10Plus][EAC3 Atmos 5.1][h265]-FLUX.mkv,Masters Of The Air (2024)/Season 01/Masters Of The Air (2024) - S01E06 - Part Six [[Trash] Release Sources (Streaming Service)_14_1 Release Sources (Streaming Service)_11_0 Release Sources (Streaming Service)_17_0 WEBDL-2160p][DV HDR10Plus][EAC3 Atmos 5.1][h265]-FLUX.mkv,10991013268,10.24,2160p,3840.0,1606.0,H.265,DD+,DV HDR10,WEB-DL,,61.1,24.0
Masters Of The Air (2024),Masters Of The Air (2024) - S01E07 - Part Seven [[Trash] Release Sources (Streaming Service)_14_1 Release Sources (Streaming Service)_11_0 Release Sources (Streaming Service)_17_0 WEBDL-2160p][DV HDR10Plus][EAC3 Atmos 5.1][h265]-FLUX.mkv,/mnt/synology/rs-4kmedia/4ktv/Masters Of The Air (2024)/Season 01/Masters Of The Air (2024) - S01E07 - Part Seven [[Trash] Release Sources (Streaming Service)_14_1 Release Sources (Streaming Service)_11_0 Release Sources (Streaming Service)_17_0 WEBDL-2160p][DV HDR10Plus][EAC3 Atmos 5.1][h265]-FLUX.mkv,Masters Of The Air (2024)/Season 01/Masters Of The Air (2024) - S01E07 - Part Seven [[Trash] Release Sources (Streaming Service)_14_1 Release Sources (Streaming Service)_11_0 Release Sources (Streaming Service)_17_0 WEBDL-2160p][DV HDR10Plus][EAC3 Atmos 5.1][h265]-FLUX.mkv,8659256619,8.06,2160p,3840.0,1606.0,H.265,DD+,DV HDR10,WEB-DL,,49.4,23.36
Masters Of The Air (2024),Masters Of The Air (2024) - S01E08 - Part Eight [[Trash] Release Sources (Streaming Service)_14_1 Release Sources (Streaming Service)_11_0 Release Sources (Streaming Service)_17_0 WEBDL-2160p][DV HDR10Plus][EAC3 Atmos 5.1][h265]-FLUX.mkv,/mnt/synology/rs-4kmedia/4ktv/Masters Of The Air (2024)/Season 01/Masters Of The Air (2024) - S01E08 - Part Eight [[Trash] Release Sources (Streaming Service)_14_1 Release Sources (Streaming Service)_11_0 Release Sources (Streaming Service)_17_0 WEBDL-2160p][DV HDR10Plus][EAC3 Atmos 5.1][h265]-FLUX.mkv,Masters Of The Air (2024)/Season 01/Masters Of The Air (2024) - S01E08 - Part Eight [[Trash] Release Sources (Streaming Service)_14_1 Release Sources (Streaming Service)_11_0 Release Sources (Streaming Service)_17_0 WEBDL-2160p][DV HDR10Plus][EAC3 Atmos 5.1][h265]-FLUX.mkv,9128624292,8.5,2160p,3840.0,1606.0,H.265,DD+,DV HDR10,WEB-DL,,51.4,23.67
Masters Of The Air (2024),Masters Of The Air (2024) - S01E09 - Part Nine [[Trash] Release Sources (Streaming Service)_14_1 Release Sources (Streaming Service)_11_0 Release Sources (Streaming Service)_17_0 WEBDL-2160p][DV HDR10Plus][EAC3 Atmos 5.1][h265]-FLUX.mkv,/mnt/synology/rs-4kmedia/4ktv/Masters Of The Air (2024)/Season 01/Masters Of The Air (2024) - S01E09 - Part Nine [[Trash] Release Sources (Streaming Service)_14_1 Release Sources (Streaming Service)_11_0 Release Sources (Streaming Service)_17_0 WEBDL-2160p][DV HDR10Plus][EAC3 Atmos 5.1][h265]-FLUX.mkv,Masters Of The Air (2024)/Season 01/Masters Of The Air (2024) - S01E09 - Part Nine [[Trash] Release Sources (Streaming Service)_14_1 Release Sources (Streaming Service)_11_0 Release Sources (Streaming Service)_17_0 WEBDL-2160p][DV HDR10Plus][EAC3 Atmos 5.1][h265]-FLUX.mkv,14054062058,13.09,2160p,3840.0,1606.0,H.265,DD+,DV HDR10,WEB-DL,,77.9,24.06
Star Trek Strange New Worlds,Star Trek Strange New Worlds (2022) - S01E01 - Strange New Worlds [PMTP PMTP PMTP WEBDL-2160p][DV][EAC3 5.1][h265].mkv,/mnt/synology/rs-4kmedia/4ktv/Star Trek Strange New Worlds/Season 01/Star Trek Strange New Worlds (2022) - S01E01 - Strange New Worlds [PMTP PMTP PMTP WEBDL-2160p][DV][EAC3 5.1][h265].mkv,Star Trek Strange New Worlds/Season 01/Star Trek Strange New Worlds (2022) - S01E01 - Strange New Worlds [PMTP PMTP PMTP WEBDL-2160p][DV][EAC3 5.1][h265].mkv,5708517400,5.32,2160p,3840.0,2160.0,H.265,DD+,DV,WEB-DL,,54.3,14.02
Star Trek Strange New Worlds,Star Trek Strange New Worlds (2022) - S01E02 - Children of the Comet [PMTP PMTP PMTP WEBDL-2160p][DV][EAC3 5.1][h265].mkv,/mnt/synology/rs-4kmedia/4ktv/Star Trek Strange New Worlds/Season 01/Star Trek Strange New Worlds (2022) - S01E02 - Children of the Comet [PMTP PMTP PMTP WEBDL-2160p][DV][EAC3 5.1][h265].mkv,Star Trek Strange New Worlds/Season 01/Star Trek Strange New Worlds (2022) - S01E02 - Children of the Comet [PMTP PMTP PMTP WEBDL-2160p][DV][EAC3 5.1][h265].mkv,5591330544,5.21,2160p,3840.0,2160.0,H.265,DD+,DV,WEB-DL,,52.3,14.25
Star Trek Strange New Worlds,Star Trek Strange New Worlds (2022) - S01E03 - Ghosts of Illyria [PMTP PMTP PMTP WEBDL-2160p][DV][EAC3 5.1][h265].mkv,/mnt/synology/rs-4kmedia/4ktv/Star Trek Strange New Worlds/Season 01/Star Trek Strange New Worlds (2022) - S01E03 - Ghosts of Illyria [PMTP PMTP PMTP WEBDL-2160p][DV][EAC3 5.1][h265].mkv,Star Trek Strange New Worlds/Season 01/Star Trek Strange New Worlds (2022) - S01E03 - Ghosts of Illyria [PMTP PMTP PMTP WEBDL-2160p][DV][EAC3 5.1][h265].mkv,4819126335,4.49,2160p,3840.0,2160.0,H.265,DD+,DV,WEB-DL,,45.8,14.04
Star Trek Strange New Worlds,Star Trek Strange New Worlds (2022) - S01E04 - Memento Mori [PMTP PMTP PMTP WEBDL-2160p][DV][EAC3 5.1][h265].mkv,/mnt/synology/rs-4kmedia/4ktv/Star Trek Strange New Worlds/Season 01/Star Trek Strange New Worlds (2022) - S01E04 - Memento Mori [PMTP PMTP PMTP WEBDL-2160p][DV][EAC3 5.1][h265].mkv,Star Trek Strange New Worlds/Season 01/Star Trek Strange New Worlds (2022) - S01E04 - Memento Mori [PMTP PMTP PMTP WEBDL-2160p][DV][EAC3 5.1][h265].mkv,5706935407,5.31,2160p,3840.0,2160.0,H.265,DD+,DV,WEB-DL,,53.9,14.13
Star Trek Strange New Worlds,Star Trek Strange New Worlds (2022) - S01E05 - Spock Amok [PMTP PMTP PMTP WEBDL-2160p][DV][EAC3 5.1][h265].mkv,/mnt/synology/rs-4kmedia/4ktv/Star Trek Strange New Worlds/Season 01/Star Trek Strange New Worlds (2022) - S01E05 - Spock Amok [PMTP PMTP PMTP WEBDL-2160p][DV][EAC3 5.1][h265].mkv,Star Trek Strange New Worlds/Season 01/Star Trek Strange New Worlds (2022) - S01E05 - Spock Amok [PMTP PMTP PMTP WEBDL-2160p][DV][EAC3 5.1][h265].mkv,5490317960,5.11,2160p,3840.0,2160.0,H.265,DD+,DV,WEB-DL,,51.9,14.12
Star Trek Strange New Worlds,Star Trek Strange New Worlds (2022) - S01E06 - Lift Us Where Suffering Cannot Reach [PMTP PMTP PMTP WEBDL-2160p][DV][EAC3 5.1][h265].mkv,/mnt/synology/rs-4kmedia/4ktv/Star Trek Strange New Worlds/Season 01/Star Trek Strange New Worlds (2022) - S01E06 - Lift Us Where Suffering Cannot Reach [PMTP PMTP PMTP WEBDL-2160p][DV][EAC3 5.1][h265].mkv,Star Trek Strange New Worlds/Season 01/Star Trek Strange New Worlds (2022) - S01E06 - Lift Us Where Suffering Cannot Reach [PMTP PMTP PMTP WEBDL-2160p][DV][EAC3 5.1][h265].mkv,5353413410,4.99,2160p,3840.0,2160.0,H.265,DD+,DV,WEB-DL,,50.5,14.15
Star Trek Strange New Worlds,Star Trek Strange New Worlds (2022) - S01E07 - The Serene Squall [PMTP PMTP PMTP WEBDL-2160p][DV][EAC3 5.1][h265].mkv,/mnt/synology/rs-4kmedia/4ktv/Star Trek Strange New Worlds/Season 01/Star Trek Strange New Worlds (2022) - S01E07 - The Serene Squall [PMTP PMTP PMTP WEBDL-2160p][DV][EAC3 5.1][h265].mkv,Star Trek Strange New Worlds/Season 01/Star Trek Strange New Worlds (2022) - S01E07 - The Serene Squall [PMTP PMTP PMTP WEBDL-2160p][DV][EAC3 5.1][h265].mkv,5281778826,4.92,2160p,3840.0,2160.0,H.265,DD+,DV,WEB-DL,,49.6,14.19
Star Trek Strange New Worlds,Star Trek Strange New Worlds (2022) - S01E08 - The Elysian Kingdom [PMTP PMTP PMTP WEBDL-2160p][DV][EAC3 5.1][h265].mkv,/mnt/synology/rs-4kmedia/4ktv/Star Trek Strange New Worlds/Season 01/Star Trek Strange New Worlds (2022) - S01E08 - The Elysian Kingdom [PMTP PMTP PMTP WEBDL-2160p][DV][EAC3 5.1][h265].mkv,Star Trek Strange New Worlds/Season 01/Star Trek Strange New Worlds (2022) - S01E08 - The Elysian Kingdom [PMTP PMTP PMTP WEBDL-2160p][DV][EAC3 5.1][h265].mkv,5694024948,5.3,2160p,3840.0,2160.0,H.265,DD+,DV,WEB-DL,,53.3,14.26
