Direction,Title,Filename,Size_GB,Quality_Score,Reason
Ali → Chris,coco framestor mkv,Coco (2017) {imdb-tt2380307} [Hybrid][Remux-2160p][DV HDR10][TrueHD Atmos 7.1][HEVC]-FraMeSToR.mkv,40.57,0,Only Ali has this file
Ali → Chris,captain america the winter soldier w4nk3r mkv,Captain America The Winter Soldier (2014) {imdb-tt1843866} [Bluray-2160p][HDR10][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,24.77,0,Only Ali has this file
Ali → Chris,ghostbusters bluranium mkv,Ghostbusters (1984) {imdb-tt0087332} - [Remux-2160p Proper][TrueHD Atmos 7.1][DV HDR10][HEVC]-BLURANiUM.mkv,65.23,0,Only Ali has this file
Ali → Chris,the lost world jurassic park hidt mkv,The Lost World Jurassic Park (1997) {imdb-tt0119567} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-HiDt.mkv,32.99,0,Only Ali has this file
Ali → Chris,interstellar sphd mkv,Interstellar (2014) {imdb-tt0816692} {edition-Imax} [Bluray-2160p][DV HDR10][DTS-HD MA 5.1][x265]-SPHD.mkv,56.24,0,Only Ali has this file
Ali → Chris,twister mainframe mkv,Twister (1996) {imdb-tt0117998} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-MainFrame.mkv,32.31,0,Only Ali has this file
Ali → Chris,the predator framestor mkv,The Predator (2018) {imdb-tt3829266} [Hybrid][Remux-2160p][DV HDR10][TrueHD Atmos 7.1][HEVC]-FraMeSToR.mkv,48.58,0,Only Ali has this file
Ali → Chris,the terminator sphd mkv,The Terminator (1984) {imdb-tt0088247} - [Bluray-2160p][TrueHD Atmos 7.1][DV HDR10][x265]-SPHD.mkv,39.43,0,Only Ali has this file
Ali → Chris,eternals p w4nk3r mkv,Eternals.2021.2160p.UHD.BluRay.ATMOS.DV.x265-W4NK3R.mkv,27.15,0,Only Ali has this file
Ali → Chris,shazam! fury of the gods w4nk3r mkv,Shazam! Fury of the Gods (2023) {imdb-tt10151854} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,37.69,0,Only Ali has this file
Ali → Chris,total recall p 7 1 framestor mkv,Total.Recall.1990.UHD.BluRay.2160p.TrueHD.Atmos.7.1.DV.HEVC.REMUX-FraMeSToR.mkv,49.44,0,Only Ali has this file
Ali → Chris,hacksaw ridge mainframe mkv,Hacksaw Ridge (2016) {imdb-tt2119532} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-MainFrame.mkv,27.61,0,Only Ali has this file
Ali → Chris,the hunger games mainframe mkv,The Hunger Games (2012) {imdb-tt1392170} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-MainFrame.mkv,36.40,0,Only Ali has this file
Ali → Chris,star trek generations sphd mkv,Star Trek Generations (1994) {imdb-tt0111280} [Bluray-2160p][DV HDR10][TrueHD 7.1][x265]-SPHD.mkv,27.43,0,Only Ali has this file
Ali → Chris,passengers framestor mkv,Passengers (2016) {imdb-tt1355644} [Hybrid][Remux-2160p][DV HDR10][TrueHD Atmos 7.1][HEVC]-FraMeSToR.mkv,47.84,0,Only Ali has this file
Ali → Chris,indiana jones and the kingdom of the crystal skull w4nk3r mkv,Indiana Jones and the Kingdom of the Crystal Skull (2008) {imdb-tt0367882} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,32.87,0,Only Ali has this file
Ali → Chris,star wars hidt mkv,Star Wars (1977) {imdb-tt0076759} - [Hybrid][Bluray-2160p][TrueHD Atmos 7.1][DV HDR10][x265]-HiDt.mkv,28.49,0,Only Ali has this file
