Direction,Title,Filename,Size_GB,Quality_Score,Reason,Needs_Review,Will_Replace
Ali → Chris,Lawrence of Arabia (1962),Lawrence.of.Arabia.1962.UHD.BluRay.2160p.TrueHD.Atmos.7.1.HEVC.REMUX-FraMeSToR.mkv,94.55,2000,Only Ali has this file,NO,N/A
Ali → Chris,The Mummy Returns (2001),The Mummy Returns (2001) {imdb-tt0209163} [Bluray-2160p][HDR10][DTS-X 7.1][x265]-CtrlHD.mkv,45.57,2330,Only Ali has this file,NO,N/A
Ali → Chris,Godzilla (2014),Godzilla (2014) {imdb-tt0831387} [Bluray-2160p][HDR10][TrueHD Atmos 7.1][x265]-HQMUX.mkv,44.77,2350,Only Ali has this file,NO,N/A
Ali → Chris,Tron (1982),Tron (1982) {imdb-tt0084827} - [Bluray-2160p][TrueHD Atmos 7.1][DV HDR10][x265]-SPx.mkv,15.05,2330,Only Ali has this file,NO,N/A
Ali → Chris,Blade Runner 2049 (2017),Blade.Runner.2049.2017.UHD.BluRay.2160p.TrueHD.Atmos.7.1.HEVC.HYBRID.REMUX-FraMeSToR.mkv,73.33,2000,Ali has additional version (lower quality: 2000 vs 2550),NO,N/A
Ali → Chris,Mission Impossible II (2000),Mission.Impossible.II.2000.2160p.UHD.BluRay.HEVC.DV.TrueHD.5.1.x265-SPHD.mkv,29.31,2200,Only Ali has this file,NO,N/A
Ali → Chris,Guardians of the Galaxy Vol. 3 (2023),Guardians of the Galaxy Vol. 3 (2023) {imdb-tt6791350} - {edition-IMAX} [Bluray-2160p][TrueHD Atmos 7.1][DV HDR10][x265]-SPHD.mkv,34.70,2330,Only Ali has this file,NO,N/A
Ali → Chris,Thor (2011),Thor (2011) {imdb-tt0800369} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-KeYBLaDE.mkv,22.33,2330,Only Ali has this file,NO,N/A
Ali → Chris,Constantine (2005),Constantine (2005) {imdb-tt0360486} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-MainFrame.mkv,33.46,2330,Only Ali has this file,NO,N/A
Ali → Chris,Spider-Man Far From Home (2019),Spider-Man Far From Home (2019) {imdb-tt6320628} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,18.91,2330,Only Ali has this file,NO,N/A
Ali → Chris,Venom (2018),Venom (2018) {imdb-tt1270797} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,19.08,2330,Only Ali has this file,NO,N/A
Ali → Chris,Ghostbusters (1984),Ghostbusters.1984.2160p.UHD.BluRay.REMUX.HDR.HEVC.Atmos-EPSiLON.mkv,47.53,2250,Ali has additional version (lower quality: 2250 vs 2530),NO,N/A
Ali → Chris,The Fantastic 4 First Steps (2025),The Fantastic 4 First Steps (2025) {imdb-tt10676052} - [Bluray-2160p][TrueHD Atmos 7.1][DV HDR10][x265]-SPx.mkv,22.44,2330,Only Ali has this file,NO,N/A
Ali → Chris,Star Trek Generations (1994) {imdb-tt0111280},Star Trek Generations (1994) {imdb-tt0111280} [Bluray-2160p][DV HDR10][TrueHD 7.1][x265]-SPHD.mkv,27.43,2330,Only Ali has this file,NO,N/A
Ali → Chris,Cars 2 (2011),Cars 2 (2011) {imdb-tt1216475} [Bluray-2160p][HDR10][TrueHD Atmos 7.1][x265]-CtrlHD.mkv,21.15,2350,Only Ali has this file,NO,N/A
Ali → Chris,Willy Wonka and the Chocolate Factory (1971),Willy Wonka and the Chocolate Factory (1971) {imdb-tt0067992} [Bluray-2160p][DV HDR10][DTS-HD MA 5.1][x265]-MainFrame.mkv,34.00,2080,Only Ali has this file,NO,N/A
Ali → Chris,What Happened to Monday (2017),What Happened to Monday (2017) {imdb-tt1536537} [Bluray-2160p][PQ][TrueHD 5.1][x265]-BEN.mkv,24.74,2050,Only Ali has this file,NO,N/A
Ali → Chris,Mission Impossible Rogue Nation (2015),Mission Impossible Rogue Nation (2015) {imdb-tt2381249} [Bluray-2160p][HDR10][TrueHD Atmos 7.1][x265]-HQMUX.mkv,24.98,2350,Only Ali has this file,NO,N/A
Ali → Chris,Indiana Jones and the Dial of Destiny (2023),Indiana Jones and the Dial of Destiny (2023) {imdb-tt1462764} [Hybrid][Remux-2160p][DV HDR10][TrueHD Atmos 7.1][HEVC]-FraMeSToR.mkv,71.85,2530,Only Ali has this file,NO,N/A
Ali → Chris,The Godfather Part II (1974),The Godfather Part II (1974) {imdb-tt0071562} [Bluray-2160p][DV HDR10][TrueHD 5.1][x265]-SPHD.mkv,62.34,2330,Only Ali has this file,NO,N/A
Ali → Chris,Zombieland Double Tap (2019),Zombieland Double Tap (2019) {imdb-tt1560220} [Bluray-2160p][DV HDR10][DTS-X 7.1][x265]-MainFrame.mkv,17.66,2310,Only Ali has this file,NO,N/A
Ali → Chris,Terminator 2 Judgment Day (1991),Terminator 2 Judgment Day (1991) {imdb-tt0103064} {edition-Theatrical Cut} [Remux-2160p][PQ][DTS-HD MA 5.1][HEVC]-FraMeSToR.mkv,49.01,2000,Only Ali has this file,NO,N/A
Ali → Chris,Terminator 2 Judgment Day (1991),Terminator 2 Judgment Day 1991 Remastered Theatrical Cut GER 2160p UHD Blu-ray Remux HEVC DTS-HD MA 5.1 - BluDragon.mkv,48.96,2000,Only Ali has this file,NO,N/A
Ali → Chris,Forrest Gump (1994),Forrest Gump (1994) {imdb-tt0109830} [Bluray-2160p Proper][DV HDR10][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,50.07,2330,Only Ali has this file,NO,N/A
Ali → Chris,Spider-Man Homecoming (2017),Spider-Man Homecoming (2017) {imdb-tt2250912} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,25.32,2330,Only Ali has this file,NO,N/A
Ali → Chris,The Super Mario Bros. Movie (2023),The Super Mario Bros. Movie (2023) {imdb-tt6718170} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,21.43,2330,Only Ali has this file,NO,N/A
Ali → Chris,Mission Impossible Fallout (2018),Mission Impossible Fallout (2018) {imdb-tt4912910} {edition-Imax} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-SPHD.mkv,51.19,2330,Only Ali has this file,NO,N/A
Ali → Chris,The Phantom of the Opera (2004),The Phantom of the Opera (2004) {imdb-tt0293508} [Remux-2160p][HDR10][DTS-HD MA 5.1][HEVC]-FraMeSToR.mkv,38.66,2300,Only Ali has this file,NO,N/A
Ali → Chris,The Wizard of Oz (1939),The Wizard of Oz (1939) {imdb-tt0032138} [Remux-2160p][DV HDR10Plus][DTS-HD MA 5.1][HEVC]-FraMeSToR.mkv,48.49,2280,Only Ali has this file,NO,N/A
Ali → Chris,Mission Impossible Ghost Protocol (2011),Mission Impossible Ghost Protocol (2011) {imdb-tt1229238} [Bluray-2160p][HDR10][TrueHD 7.1][x265]-HQMUX.mkv,25.72,2350,Only Ali has this file,NO,N/A
