Direction,Title,Filename,Size_GB,Quality_Score,Reason
Ali → Chris,the mandalorian s01e03 chapter 3 the sin p dsnp ddp 5 1 dovi sic mkv,The.Mandalorian.S01E03.Chapter.3.The.Sin.2160p.DSNP.WEB-DL.DDP.5.1.Atmos.DoVi.HDR.HEVC-SiC.mkv,4.05,0,Only Ali has this file
Ali → Chris,star trek picard s03e08 part eight surrender release sources (streaming service) 14 0 release sources (streaming service) 11 5 release sources (streaming service) 17 5 webdl p] flux mkv,Star Trek Picard (2020) - S03E08 - Part Eight Surrender [[Trash] Release Sources (Streaming Service)_14_0 Release Sources (Streaming Service)_11_5 Release Sources (Streaming Service)_17_5 WEBDL-2160p][DTS-HD MA 5.1][h265]-FLUX.mkv,6.04,0,Only Ali has this file
Ali → Chris,the mandalorian s03e01 chapter 17 p dsnp ddp5 1 flux mkv,The.Mandalorian.S03E01.Chapter.17.2160p.DSNP.WEB-DL.DDP5.1.Atmos.DV.HDR.H.265-FLUX.mkv,3.36,0,Only Ali has this file
Ali → Chris,house of the dragon s01e06 the princess and the queen p hmax ddp5 1 crfw mkv,House.of.the.Dragon.S01E06.The.Princess.and.the.Queen.2160p.HMAX.WEB-DL.DDP5.1.Atmos.DV.HDR.H.265-CRFW.mkv,8.81,0,Only Ali has this file
Ali → Chris,planet earth ii s01e06 cities p ma 5 1 framestor mkv,Planet.Earth.II.S01E06.Cities.2160p.DTS-HD.MA.5.1.HEVC.REMUX-FraMeSToR.mkv,16.18,0,Only Ali has this file
Ali → Chris,the chosen s03e06 intensity in tent city release sources (streaming service) 14 0 release sources (streaming service) 11 5 release sources (streaming service) 17 5] playweb mkv,The Chosen (2019) - S03E06 - Intensity in Tent City [[Trash] Release Sources (Streaming Service)_14_0 Release Sources (Streaming Service)_11_5 Release Sources (Streaming Service)_17_5][WEBDL-2160p][EAC3 5.1][h265]-playWEB.mkv,7.57,0,Only Ali has this file
Ali → Chris,blue planet ii s01e04 big blue p ma 5 1 epsilon mkv,Blue.Planet.II.S01E04.Big.Blue.2160p.UHD.BluRay.REMUX.HDR.HEVC.DTS-HD.MA.5.1-EPSiLON.mkv,21.05,0,Only Ali has this file
Ali → Chris,shōgun s01e08 abyss of life release sources (streaming service) 14 3 release sources (streaming service) 11 1 release sources (streaming service) 17 1 webdl p] flux mkv,Shōgun (2024) - S01E08 - Abyss of Life [[Trash] Release Sources (Streaming Service)_14_3 Release Sources (Streaming Service)_11_1 Release Sources (Streaming Service)_17_1 WEBDL-2160p][DV HDR10][EAC3 5.1][h265]-FLUX.mkv,6.03,0,Only Ali has this file
Ali → Chris,our planet s02e01 chapter 1 world on the move p nf ddp5 1 flux mkv,Our.Planet.2019.S02E01.Chapter.1.World.on.the.Move.2160p.NF.WEB-DL.DDP5.1.Atmos.DV.HDR.H.265-FLUX.mkv,6.55,0,Only Ali has this file
Ali → Chris,the chosen s04e08 humble release sources (streaming service) 14 0 release sources (streaming service) 11 5 release sources (streaming service) 17 5] playweb mkv,The Chosen (2019) - S04E08 - Humble [[Trash] Release Sources (Streaming Service)_14_0 Release Sources (Streaming Service)_11_5 Release Sources (Streaming Service)_17_5][WEBDL-2160p][EAC3 5.1][h265]-playWEB.mkv,8.61,0,Only Ali has this file
Ali → Chris,star trek strange new worlds s03e04 a space adventure hour successfulcrab mkv,Star Trek Strange New Worlds (2022) - S03E04 - A Space Adventure Hour [WEBDL-2160p][EAC3 5.1][HDR10Plus][h265]-successfulcrab.mkv,3.65,0,Only Ali has this file
Ali → Chris,house of the dragon s02e06 smallfolk release sources (streaming service) 14 7 release sources (streaming service) 11 2 release sources (streaming service) 17 2 webdl p] flux mkv,House of the Dragon (2022) - S02E06 - Smallfolk [[Trash] Release Sources (Streaming Service)_14_7 Release Sources (Streaming Service)_11_2 Release Sources (Streaming Service)_17_2 WEBDL-2160p][DV HDR10][EAC3 Atmos 5.1][h265]-FLUX.mkv,10.37,0,Only Ali has this file
Ali → Chris,the mandalorian s01e05 chapter 5 the gunslinger p dsnp ddp 5 1 dovi sic mkv,The.Mandalorian.S01E05.Chapter.5.The.Gunslinger.2160p.DSNP.WEB-DL.DDP.5.1.Atmos.DoVi.HDR.HEVC-SiC.mkv,3.89,0,Only Ali has this file
Ali → Chris,star trek strange new worlds s03e07 what is starfleet release sources (streaming service) 14 15 release sources (streaming service) 11 7 release sources (streaming service) 17 8] flux mkv,Star Trek Strange New Worlds (2022) - S03E07 - What Is Starfleet [[Trash] Release Sources (Streaming Service)_14_15 Release Sources (Streaming Service)_11_7 Release Sources (Streaming Service)_17_8][WEBDL-2160p][EAC3 5.1][DV HDR10Plus][h265]-FLUX.mkv,2.43,0,Only Ali has this file
Ali → Chris,shōgun s01e09 crimson sky release sources (streaming service) 14 3 release sources (streaming service) 11 1 release sources (streaming service) 17 1 webdl p] flux mkv,Shōgun (2024) - S01E09 - Crimson Sky [[Trash] Release Sources (Streaming Service)_14_3 Release Sources (Streaming Service)_11_1 Release Sources (Streaming Service)_17_1 WEBDL-2160p][DV HDR10][EAC3 5.1][h265]-FLUX.mkv,6.34,0,Only Ali has this file
Ali → Chris,our planet s01e02 frozen worlds p nf ddp 5 1 dovi sic mkv,Our.Planet.S01E02.Frozen.Worlds.2160p.NF.WEB-DL.DDP.5.1.Atmos.DoVi.HDR.HEVC-SiC.mkv,5.77,0,Only Ali has this file
Ali → Chris,blue planet ii s01e07 our blue planet p ma 5 1 epsilon mkv,Blue.Planet.II.S01E07.Our.Blue.Planet.2160p.UHD.BluRay.REMUX.HDR.HEVC.DTS-HD.MA.5.1-EPSiLON.mkv,24.85,0,Only Ali has this file
Ali → Chris,star trek strange new worlds s03e02 wedding bell blues successfulcrab mkv,Star Trek Strange New Worlds (2022) - S03E02 - Wedding Bell Blues [WEBDL-2160p][HDR10Plus][EAC3 5.1][h265]-successfulcrab.mkv,1.34,0,Only Ali has this file
Ali → Chris,star trek discovery s04e04 all is possible release sources (streaming service) 14 15 release sources (streaming service) 11 7 release sources (streaming service) 17 8 webdl p] ntb mkv,Star Trek Discovery (2017) - S04E04 - All Is Possible [[Trash] Release Sources (Streaming Service)_14_15 Release Sources (Streaming Service)_11_7 Release Sources (Streaming Service)_17_8 WEBDL-2160p][HDR10Plus][EAC3 5.1][HEVC]-NTb.mkv,5.51,0,Only Ali has this file
Ali → Chris,life on our planet s01e02 chapter 2 the first frontier p nf ddp5 1 flux mkv,Life.on.Our.Planet.S01E02.Chapter.2.The.First.Frontier.2160p.NF.WEB-DL.DDP5.1.Atmos.DV.HDR.H.265-FLUX.mkv,7.17,0,Only Ali has this file
Ali → Chris,planet earth ii s01e03 jungles p ma 5 1 framestor mkv,Planet.Earth.II.S01E03.Jungles.2160p.DTS-HD.MA.5.1.HEVC.REMUX-FraMeSToR.mkv,16.50,0,Only Ali has this file
Ali → Chris,planet earth iii s01e07 human ntb mkv,Planet Earth III (2023) - S01E07 - Human [WEBDL-2160p][HLG][AAC 2.0][HEVC]-NTb.mkv,7.58,0,Only Ali has this file
Ali → Chris,the chosen s01e08 i am he release sources (streaming service) 14 0 release sources (streaming service) 11 5 release sources (streaming service) 17 5] playweb mkv,The Chosen (2019) - S01E08 - I Am He [[Trash] Release Sources (Streaming Service)_14_0 Release Sources (Streaming Service)_11_5 Release Sources (Streaming Service)_17_5][WEBDL-2160p][EAC3 5.1][h265]-playWEB.mkv,6.30,0,Only Ali has this file
Ali → Chris,super natural s01e03 eat or be eaten p dsnp ddp5 1 dovi ntb mkv,Super-Natural.S01E03.Eat.or.Be.Eaten.2160p.DSNP.WEB-DL.DDP5.1.DoVi.H.265-NTb.mkv,4.71,0,Only Ali has this file
Ali → Chris,life on our planet s01e03 chapter 3 invaders of the land p nf ddp5 1 flux mkv,Life.on.Our.Planet.S01E03.Chapter.3.Invaders.of.the.Land.2160p.NF.WEB-DL.DDP5.1.Atmos.DV.HDR.H.265-FLUX.mkv,8.00,0,Only Ali has this file
Ali → Chris,star trek picard s03e10 part ten the last generation release sources (streaming service) 14 0 release sources (streaming service) 11 5 release sources (streaming service) 17 5 webdl p] flux mkv,Star Trek Picard (2020) - S03E10 - Part Ten The Last Generation [[Trash] Release Sources (Streaming Service)_14_0 Release Sources (Streaming Service)_11_5 Release Sources (Streaming Service)_17_5 WEBDL-2160p][DTS-HD MA 5.1][h265]-FLUX.mkv,7.45,0,Only Ali has this file
Ali → Chris,the mandalorian s01e08 chapter 8 redemption p dsnp ddp 5 1 dovi sic mkv,The.Mandalorian.S01E08.Chapter.8.Redemption.2160p.DSNP.WEB-DL.DDP.5.1.Atmos.DoVi.HDR.HEVC-SiC.mkv,5.46,0,Only Ali has this file
