Group,Action,File,Score,Quality,Size_GB,Path
Anne with an E (2017) {tvdb-322971}/Season 01/S01E07,KEEP,Anne with an E (2017) - S01E07 - Wherever You Are is My Home [Bluray-1080p][AC3 5.1][x264]-iNGOT.mkv,3276,1080p/Bluray/DD/AVC,2.64,/mnt/synology/rs-tv/Anne with an E (2017) {tvdb-322971}/Season 01/Anne with an E (2017) - S01E07 - Wherever You Are is My Home [Bluray-1080p][AC3 5.1][x264]-iNGOT.mkv
Anne with an E (2017) {tvdb-322971}/Season 01/S01E07,REMOVE,Anne with an E (2017) - S01E07 - Wherever You Are is My Home [Bluray-1080p][AC3 5.1][x264].mkv,3276,1080p/Bluray/DD/AVC,2.64,/mnt/synology/rs-tv/Anne with an E (2017) {tvdb-322971}/Season 01/Anne with an E (2017) - S01E07 - Wherever You Are is My Home [Bluray-1080p][AC3 5.1][x264].mkv
Bel-Air (2022) {tvdb-388151}/Season 01/S01E01,KEEP,Bel-Air (2022) - S01E01 - Dreams and Nightmares [WEBDL-1080p][EAC3 5.1][h264]-NTb.mkv,3538,1080p/WEBDL/DD+/AVC,3.87,/mnt/synology/rs-tv/Bel-Air (2022) {tvdb-388151}/Season 01/Bel-Air (2022) - S01E01 - Dreams and Nightmares [WEBDL-1080p][EAC3 5.1][h264]-NTb.mkv
Bel-Air (2022) {tvdb-388151}/Season 01/S01E01,REMOVE,Bel-Air (2022) - S01E01 - Dreams and Nightmares [WEBDL-1080p Proper][EAC3 5.1][x264]-NTb.mkv,3533,1080p/WEBDL/DD+/AVC,3.36,/mnt/synology/rs-tv/Bel-Air (2022) {tvdb-388151}/Season 01/Bel-Air (2022) - S01E01 - Dreams and Nightmares [WEBDL-1080p Proper][EAC3 5.1][x264]-NTb.mkv
Black Mirror (2011) {tvdb-253463}/Season 07/S07E02,KEEP,Black Mirror (2011) - S07E02 - Bête Noire [WEBDL-720p][EAC3 Atmos 5.1][x264]-FLUX.mkv,1857,720p/WEBDL/Atmos/AVC,0.74,/mnt/synology/rs-tv/Black Mirror (2011) {tvdb-253463}/Season 07/Black Mirror (2011) - S07E02 - Bête Noire [WEBDL-720p][EAC3 Atmos 5.1][x264]-FLUX.mkv
Black Mirror (2011) {tvdb-253463}/Season 07/S07E02,REMOVE,Black Mirror (2011) - S07E02 - Bête Noire [NF][WEBDL-720p][EAC3 Atmos 5.1][x264]-FLUX.mkv,1857,720p/WEBDL/Atmos/AVC,0.74,/mnt/synology/rs-tv/Black Mirror (2011) {tvdb-253463}/Season 07/Black Mirror (2011) - S07E02 - Bête Noire [NF][WEBDL-720p][EAC3 Atmos 5.1][x264]-FLUX.mkv
Black Mirror (2011) {tvdb-253463}/Season 07/S07E03,KEEP,Black Mirror (2011) - S07E03 - Hotel Reverie [WEBDL-720p][EAC3 Atmos 5.1][x264]-FLUX.mkv,1859,720p/WEBDL/Atmos/AVC,0.98,/mnt/synology/rs-tv/Black Mirror (2011) {tvdb-253463}/Season 07/Black Mirror (2011) - S07E03 - Hotel Reverie [WEBDL-720p][EAC3 Atmos 5.1][x264]-FLUX.mkv
Black Mirror (2011) {tvdb-253463}/Season 07/S07E03,REMOVE,Black Mirror (2011) - S07E03 - Hotel Reverie [NF][WEBDL-720p][EAC3 Atmos 5.1][x264]-FLUX.mkv,1859,720p/WEBDL/Atmos/AVC,0.98,/mnt/synology/rs-tv/Black Mirror (2011) {tvdb-253463}/Season 07/Black Mirror (2011) - S07E03 - Hotel Reverie [NF][WEBDL-720p][EAC3 Atmos 5.1][x264]-FLUX.mkv
Black Mirror (2011) {tvdb-253463}/Season 07/S07E04,KEEP,Black Mirror (2011) - S07E04 - Plaything [NF][WEBDL-720p][EAC3 Atmos 5.1][x264]-FLUX.mkv,1859,720p/WEBDL/Atmos/AVC,0.91,/mnt/synology/rs-tv/Black Mirror (2011) {tvdb-253463}/Season 07/Black Mirror (2011) - S07E04 - Plaything [NF][WEBDL-720p][EAC3 Atmos 5.1][x264]-FLUX.mkv
Black Mirror (2011) {tvdb-253463}/Season 07/S07E04,REMOVE,Black Mirror (2011) - S07E04 - Plaything [WEBDL-720p][EAC3 Atmos 5.1][x264]-FLUX.mkv,1859,720p/WEBDL/Atmos/AVC,0.91,/mnt/synology/rs-tv/Black Mirror (2011) {tvdb-253463}/Season 07/Black Mirror (2011) - S07E04 - Plaything [WEBDL-720p][EAC3 Atmos 5.1][x264]-FLUX.mkv
