Direction,Title,Filename,Size_GB,Quality_Score,Reason
Ali → Chris,queen rock montreal bhdstudio mp4,Queen Rock Montreal (2024) {imdb-tt30973483} [Bluray-1080p][AC3 2.0][x264]-BHDStudio.mp4,5.50,0,Only Ali has this file
Ali → Chris,the day after tomorrow p d z0n3 mkv,The.Day.After.Tomorrow.2004.1080p.BluRay.DTS.x264.D-Z0N3.mkv,13.20,0,Only Ali has this file
Ali → Chris,jurassic park iii hidt mkv,Jurassic Park III (2001) {imdb-tt0163025} [Bluray-1080p][DV HDR10][EAC3 Atmos 5.1][x265]-HiDt.mkv,14.02,0,Only Ali has this file
Ali → Chris,ultrasound p dd5 1 evo mkv,Ultrasound.2022.1080p.WEB-DL.DD5.1.H.264-EVO.mkv,5.16,0,Only Ali has this file
Ali → Chris,vacation friends p dsnp ddp5 1 tepes mkv,Vacation.Friends.2021.1080p.DSNP.WEB-DL.DDP5.1.H.264-TEPES.mkv,5.03,0,Only Ali has this file
Ali → Chris,robots spyfox mkv,Robots (2005) {imdb-tt0358082} [Bluray-1080p][EAC3 5.1][x264]-Spyfox.mkv,6.47,0,Only Ali has this file
Ali → Chris,den of thieves brute mkv,Den of Thieves (2018) {imdb-tt1259528} {edition-Unrated} [Bluray-1080p][DV HDR10][EAC3 7.1][x265]-BRUTE.mkv,21.30,0,Only Ali has this file
Ali → Chris,american reunion unrated p ctrlhd mkv,American.Reunion.2012.UNRATED.1080p.BluRay.DTS.x264-CtrlHD.mkv,13.64,0,Only Ali has this file
Ali → Chris,nate bargatzes nashville christmas rawr mkv,Nate Bargatzes Nashville Christmas (2024) {imdb-tt34730512} [AMZN][WEBDL-1080p][EAC3 5.1][h264]-RAWR.mkv,3.28,0,Only Ali has this file
Ali → Chris,batman mystery of the batwoman p decibel mkv,Batman.Mystery.of.the.Batwoman.2003.1080p.BluRay.DTS.x264-decibeL.mkv,4.57,0,Only Ali has this file
Ali → Chris,maverick p flac2 0 don mkv,Maverick.1994.1080p.Bluray.FLAC2.0.x264-DON.mkv,10.94,0,Only Ali has this file
Ali → Chris,defiance tayto mkv,Defiance (2008) {imdb-tt1034303} [Bluray-1080p][EAC3 5.1][x264]-TayTO.mkv,21.11,0,Only Ali has this file
Ali → Chris,operation finale ift mkv,Operation Finale (2018) {imdb-tt5208252} [Bluray-1080p][DTS-HD MA 5.1][x264]-iFT.mkv,14.00,0,Only Ali has this file
Ali → Chris,timecop sqs mkv,Timecop (1994) {imdb-tt0111438} [Bluray-1080p][DV HDR10][EAC3 5.1][x265]-SQS.mkv,8.87,0,Only Ali has this file
Ali → Chris,65 hidt mkv,65 (2023) {imdb-tt12261776} [Bluray-1080p][EAC3 7.1][x264]-HiDt.mkv,10.59,0,Only Ali has this file
Ali → Chris,the next three days p ctrlhd mkv,The.Next.Three.Days.2010.1080p.BluRay.DTS.x264-CtrlHD.mkv,14.15,0,Only Ali has this file
Ali → Chris,marry me tayto mkv,Marry Me (2022) {imdb-tt10223460} [Bluray-1080p][EAC3 5.1][x264]-TayTO.mkv,10.62,0,Only Ali has this file
Ali → Chris,bridget joness diary ctrlhd mkv,Bridget Joness Diary (2001) {imdb-tt0243155} - [Bluray-1080p][DTS 5.1][x264]-CtrlHD.mkv,9.06,0,Only Ali has this file
