Direction,Title,Filename,Size_GB,Quality_Score,Reason,Needs_Review,Will_Replace
Ali → Chris,1917 (2019),1917 (2019) {imdb-tt8579674} - [Bluray-1080p][EAC3 Atmos 5.1][DV HDR10Plus][x265]-HiDt.mkv,14.67,1730,Ali has additional version (lower quality: 1730 vs 1750),NO,N/A
Ali → Chris,1992 (2024),1992 (2024) {imdb-tt4959750} [Bluray-1080p][EAC3 7.1][x264]-ZoroSenpai.mkv,11.00,1450,Ali has additional version (lower quality: 1450 vs 1750),NO,N/A
Ali → Chris,2010 (1984),2010 (1984) {imdb-tt0086837} - [Bluray-1080p][AC3 5.1][x264]-DON.mkv,13.47,1400,Ali has additional version (lower quality: 1400 vs 1750),NO,N/A
Ali → Chris,1944 (2015),1944 (2015) {imdb-tt3213684} [Bluray-1080p][DTS-HD MA 5.1][x264]-GeneMige.mkv,10.78,1300,Ali has additional version (lower quality: 1300 vs 1750),NO,N/A
Ali → Chris,Slice (2018),Slice (2018) {imdb-tt4411234} [Bluray-1080p][AC3 5.1][x264]-BdC.mkv,8.26,1400,Only Ali has this file,NO,N/A
Ali → Chris,Tae Guk Gi The Brotherhood of War (2004),Tae Guk Gi The Brotherhood of War (2004) {imdb-tt0386064} [Bluray-1080p][EAC3 5.1][x264]-iFT.mkv,17.70,1450,Only Ali has this file,NO,N/A
Ali → Chris,Predators (2025),Predators (2025) {imdb-tt34963732} - [AMZN][WEBDL-1080p][EAC3 5.1][h264]-BLOOM.mkv,4.06,1250,Ali has additional version (lower quality: 1250 vs 1730),NO,N/A
Ali → Chris,"Eyes of Tammy Faye, The (2021)",The.Eyes.of.Tammy.Faye.2021.1080p.BluRay.DD+5.1.x264-iFT.mkv,15.53,1450,Only Ali has this file,NO,N/A
Ali → Chris,Joint Security Area (2000),Joint Security Area (2000) {imdb-tt0260991} [Bluray-1080p][AC3 5.1][x264]-DON.mkv,14.70,1400,Only Ali has this file,NO,N/A
Ali → Chris,Cold in July (2014),Cold in July (2014) {imdb-tt1179031} - [Bluray-1080p][AC3 5.1][x264].mkv,13.14,1400,Only Ali has this file,NO,N/A
Ali → Chris,We Need to Talk About Kevin (2011),We Need to Talk About Kevin (2011) {imdb-tt1242460} [Bluray-1080p][DTS 5.1][x264]-D-Z0N3.mkv,18.35,1300,Only Ali has this file,NO,N/A
Ali → Chris,One of Them Days (2025),One of Them Days (2025) {imdb-tt32221196} [Bluray-1080p][DTS-HD MA 5.1][x264]-PiGNUS.mkv,10.80,1300,Only Ali has this file,NO,N/A
Ali → Chris,Nobody's Fool (1994),Nobodys.Fool.1994.1080p.UHD.BluRay.DDP5.1.DV.HDR10.x265-DON.mkv,14.62,2180,Only Ali has this file,NO,N/A
Ali → Chris,Lean on Pete (2018),Lean on Pete (2018) {imdb-tt5340300} [Bluray-1080p][AC3 5.1][x264]-VietHD.mkv,15.40,1400,Only Ali has this file,NO,N/A
Ali → Chris,The First Power (1990),The First Power (1990) {imdb-tt0099578} - [Bluray-1080p][DTS-HD MA 2.0][x264]-BAZ.mkv,8.63,1300,Only Ali has this file,NO,N/A
Ali → Chris,Bridget Jones's Diary (2001),Bridget Joness Diary (2001) {imdb-tt0243155} - [Bluray-1080p][DTS 5.1][x264]-CtrlHD.mkv,9.06,1300,Only Ali has this file,NO,N/A
Ali → Chris,Stone Cold (1991),Stone Cold (1991) {imdb-tt0102984} [Bluray-1080p][DTS-HD MA 5.1][x264]-BARC0DE.mkv,7.78,1300,Only Ali has this file,NO,N/A
Ali → Chris,Trouble Man! (2025),Trouble Man! (2025) {imdb-tt30459064} - [AMZN][WEBDL-1080p][EAC3 2.0][h264]-BYNDR.mkv,5.01,1250,Only Ali has this file,NO,N/A
Ali → Chris,Irish Wish (2024),Irish Wish (2024) {imdb-tt21957774} [NF][WEBDL-1080p][EAC3 Atmos 5.1][x264]-FLUX.mkv,3.69,1250,Only Ali has this file,NO,N/A
Ali → Chris,Little Big League (1994),Little Big League (1994) {imdb-tt0110363} [Bluray-1080p][DTS-HD MA 5.1][h264]-PRiSTiNE.mkv,29.68,1300,Only Ali has this file,NO,N/A
Ali → Chris,Snow Day (2000),Snow Day (2000) {imdb-tt0184907} - [WEBRip-1080p][EAC3 5.1][x264]-NTb.mkv,9.10,1150,Only Ali has this file,NO,N/A
Ali → Chris,Trainwreck The Astroworld Tragedy (2025),Trainwreck The Astroworld Tragedy (2025) {imdb-tt36856278} [NF][WEBDL-1080p][EAC3 Atmos 5.1][x264]-FLUX.mkv,3.14,1250,Only Ali has this file,NO,N/A
