Title,Winner,Ali_File,Ali_Score,Chris_File,Chris_Score,Action,Deleted_Path,Reason
Krazy House (2024),chris,,0,Krazy House (2024) {tmdb-607338} - [WEBDL-1080p][AC3 5.1][x264].mkv,3229,COPY Chris → Ali,,Only Chris has this file
Home Team (2022),tie,Home Team (2022) {tmdb-817648} - [NF][WEBDL-1080p][EAC3 Atmos 5.1][HDR10][HEVC]-TEPES.mkv,4141,Home Team (2022) {tmdb-817648} - [NF][WEBDL-1080p][EAC3 Atmos 5.1][HDR10][HEVC]-TEPES.mkv,4141,NO ACTION (keep both),,Both versions are equal quality (4141)
Cirque du Freak The Vampires Assistant (2009),chris,,0,Cirque du Freak The Vampires Assistant (2009) {tmdb-24418} - [Bluray-720p][AAC 5.1][x264].mp4,2665,COPY Chris → Ali,,Only Chris has this file
Post Grad (2009),ali,Post Grad (2009) {tmdb-25704} - [Bluray-1080p][DTS 5.1][x264]-LCHD.mkv,3865,Post Grad (2009) {tmdb-25704} - [DSNP][WEBDL-1080p][EAC3 5.1][h264]-FLUX.mkv,3296,"MOVE Chris's to Deleted, COPY Ali's to Chris",/mnt/synology/rs-4kmedia/deleted/Movies,Ali's version is higher quality (+569)
Law Abiding Citizen (2009),tie,Law Abiding Citizen (2009) {tmdb-22803} - {edition-Directors Cut} [Bluray-1080p][EAC3 5.1][x264]-hallowed.mkv,3854,Law Abiding Citizen (2009) {tmdb-22803} - {edition-Directors Cut} [Bluray-1080p][EAC3 5.1][x264]-hallowed.mkv,3854,NO ACTION (keep both),,Both versions are equal quality (3854)
Falling (2006),chris,,0,Falling (2006) {tmdb-79072} - [Bluray-1080p][DTS 5.1][x264]-iLL.mkv,3900,COPY Chris → Ali,,Only Chris has this file
Murder Mystery 2 (2023),ali,Murder Mystery 2 (2023) {tmdb-638974} - [NF][WEBDL-1080p][EAC3 Atmos 5.1][DV HDR10][h265]-FLUX.mkv,4126,Murder Mystery 2 (2023) {tmdb-638974} - [NF][WEBDL-1080p][EAC3 Atmos 5.1][x264]-CMRG.mkv,3634,"MOVE Chris's to Deleted, COPY Ali's to Chris",/mnt/synology/rs-4kmedia/deleted/Movies,Ali's version is higher quality (+492)
American Heist (2014),tie,American Heist (2014) {tmdb-250066} - [Bluray-1080p][DTS 5.1][x264]-veto.mkv,3876,American Heist (2014) {tmdb-250066} - [Bluray-1080p][DTS 5.1][x264]-veto.mkv,3876,NO ACTION (keep both),,Both versions are equal quality (3876)
Presence (2025),tie,Presence (2025) {tmdb-1140535} - [Bluray-1080p][EAC3 Atmos 5.1][HDR10][x265]-SM737.mkv,4645,Presence (2025) {tmdb-1140535} - [Bluray-1080p][EAC3 Atmos 5.1][HDR10][x265]-SM737.mkv,4645,NO ACTION (keep both),,Both versions are equal quality (4645)
Straw Dogs (1971),tie,Straw Dogs (1971) {tmdb-994} - [Bluray-1080p][AC3 5.1][x264]-EbP.mkv,3824,Straw Dogs (1971) {tmdb-994} - [Bluray-1080p][AC3 5.1][x264]-EbP.mkv,3824,NO ACTION (keep both),,Both versions are equal quality (3824)
City Island (2009),tie,City Island (2009) {tmdb-28053} - [Bluray-1080p][DTS 5.1][x264]-CiNEFiLE.mkv,3879,City Island (2009) {tmdb-28053} - [Bluray-1080p][DTS 5.1][x264]-CiNEFiLE.mkv,3879,NO ACTION (keep both),,Both versions are equal quality (3879)
AVP Alien vs. Predator (2004),tie,AVP Alien vs. Predator (2004) {tmdb-395} - {edition-Extended} [Bluray-1080p][DTS 5.1][x264]-CtrlHD.mkv,3934,AVP Alien vs. Predator (2004) {tmdb-395} - {edition-Extended} [Bluray-1080p][DTS 5.1][x264]-CtrlHD.mkv,3934,NO ACTION (keep both),,Both versions are equal quality (3934)
17 Again (2009),chris,,0,17 Again (2009) {tmdb-16996} - [Bluray-1080p][EAC3 5.1][x264]-hallowed.mkv,3826,COPY Chris → Ali,,Only Chris has this file
Stalingrad (1993),tie,Stalingrad (1993) {tmdb-11101} - [Bluray-1080p][AC3 5.1][x264]-CRiSC.mkv,3891,Stalingrad (1993) {tmdb-11101} - [Bluray-1080p][AC3 5.1][x264]-CRiSC.mkv,3891,NO ACTION (keep both),,Both versions are equal quality (3891)
Fright Night (1985),tie,Fright Night (1985) {tmdb-11797} - [Remux-1080p][DTS-HD MA 5.1][x264]-LEGi0N.mkv,4700,Fright Night (1985) {tmdb-11797} - [Remux-1080p][DTS-HD MA 5.1][x264]-LEGi0N.mkv,4700,NO ACTION (keep both),,Both versions are equal quality (4700)
American Made (2017),tie,American Made (2017) {tmdb-337170} - [Hybrid][Bluray-1080p][EAC3 7.1][HDR10][x265]-TDD.mkv,4394,American Made (2017) {tmdb-337170} - [Bluray-1080p][EAC3 7.1][HDR10][x265]-TDD.mkv,4394,NO ACTION (keep both),,Both versions are equal quality (4394)
The Carman Family Deaths (2025),tie,The Carman Family Deaths (2025) {tmdb-1363282} - [NF][WEBDL-1080p][EAC3 Atmos 5.1][x264]-Kitsune.mkv,3635,The Carman Family Deaths (2025) {tmdb-1363282} - [NF][WEBDL-1080p][EAC3 Atmos 5.1][x264]-Kitsune.mkv,3635,NO ACTION (keep both),,Both versions are equal quality (3635)
The Warriors Way (2010),tie,The Warriors Way (2010) {tmdb-46528} - [Bluray-1080p][AC3 5.1][x264]-SA89.mkv,3836,The Warriors Way (2010) {tmdb-46528} - [Bluray-1080p][AC3 5.1][x264]-SA89.mkv,3836,NO ACTION (keep both),,Both versions are equal quality (3836)
The Valet (2022),ali,The Valet (2022) {tmdb-810171} - [Hulu][WEBDL-1080p][EAC3 5.1][h264]-CMRG.mkv,3281,,0,COPY Ali → Chris,,Only Ali has this file
Hold the Dark (2018),chris,,0,Hold the Dark (2018) {tmdb-395841} - [NF][WEBDL-1080p][EAC3 5.1][x264]-NTG.mkv,3280,COPY Chris → Ali,,Only Chris has this file
Percy Jackson and the Olympians The Lightning Thief (2010),ali,Percy Jackson and the Olympians The Lightning Thief (2010) {tmdb-32657} - [Bluray-1080p][DTS 5.1][x264]-D-Z0N3.mkv,3952,Percy Jackson and the Olympians The Lightning Thief (2010) {tmdb-32657} - [Bluray-720p][DTS 5.1][x264].mkv,2865,"MOVE Chris's to Deleted, COPY Ali's to Chris",/mnt/synology/rs-4kmedia/deleted/Movies,Ali's version is higher quality (+1087)
The Proposal (2009),tie,The Proposal (2009) {tmdb-18240} - [Bluray-1080p][EAC3 5.1][x264]-DON.mkv,3916,The Proposal (2009) {tmdb-18240} - [Bluray-1080p][EAC3 5.1][x264]-DON.mkv,3916,NO ACTION (keep both),,Both versions are equal quality (3916)
Wall to Wall (2025),tie,Wall to Wall (2025) {tmdb-1269208} - [NF][WEBDL-1080p][EAC3 Atmos 5.1][x264]-FLUX.mkv,3652,Wall to Wall (2025) {tmdb-1269208} - [NF][WEBDL-1080p][EAC3 Atmos 5.1][x264]-FLUX.mkv,3652,NO ACTION (keep both),,Both versions are equal quality (3652)
Three Wise Men and a Baby (2022),ali,Three Wise Men and a Baby (2022) {tmdb-1028541} - [AMZN][WEBDL-1080p][EAC3 2.0][h264]-NTb.mkv,3314,Three Wise Men and a Baby (2022) {tmdb-1028541} - [AMZN][WEBDL-1080p][EAC3 5.1][h264]-MERRY.mkv,3311,"MOVE Chris's to Deleted, COPY Ali's to Chris",/mnt/synology/rs-4kmedia/deleted/Movies,Ali's version is higher quality (+3)
Batman Unlimited Monster Mayhem (2015),tie,Batman Unlimited Monster Mayhem (2015) {tmdb-342917} - [Bluray-1080p][AC3 5.1][x264]-VENUE.mkv,3743,Batman Unlimited Monster Mayhem (2015) {tmdb-342917} - [Bluray-1080p][AC3 5.1][x264]-VENUE.mkv,3743,NO ACTION (keep both),,Both versions are equal quality (3743)
Survive (2022),tie,Survive (2022) {tmdb-1132079} - [Bluray-1080p][DTS-HD MA 5.1][x264]-UNVEiL.mkv,4091,Survive (2022) {tmdb-1132079} - [Bluray-1080p][DTS-HD MA 5.1][x264]-UNVEiL.mkv,4091,NO ACTION (keep both),,Both versions are equal quality (4091)
WALL·E (2008),tie,WALL·E (2008) {tmdb-10681} - [Bluray-1080p][EAC3 Atmos 7.1][DV HDR10][x265]-c0kE.mkv,4664,WALL·E (2008) {tmdb-10681} - [Bluray-1080p][EAC3 Atmos 7.1][DV HDR10][x265]-c0kE.mkv,4664,NO ACTION (keep both),,Both versions are equal quality (4664)
Slotherhouse (2023),ali,Slotherhouse (2023) {tmdb-1040892} - [Bluray-1080p][EAC3 5.1][x264]-ZoroSenpai.mkv,3830,Slotherhouse (2023) {tmdb-1040892} - [WEBDL-1080p][EAC3 5.1][h264]-BobDobbs.mkv,3307,"MOVE Chris's to Deleted, COPY Ali's to Chris",/mnt/synology/rs-4kmedia/deleted/Movies,Ali's version is higher quality (+523)
Oh Hi! (2025),tie,Oh Hi! (2025) {tmdb-1339658} - [AMZN][WEBDL-1080p][EAC3 5.1][h264]-BYNDR.mkv,3304,Oh Hi! (2025) {tmdb-1339658} - [AMZN][WEBDL-1080p][EAC3 5.1][h264]-BYNDR.mkv,3304,NO ACTION (keep both),,Both versions are equal quality (3304)
Reel Rock 17 (2023),ali,Reel Rock 17 (2023) {tmdb-1113148} - [WEBDL-1080p][AAC 2.0][x264]-MacP.mkv,3214,,0,COPY Ali → Chris,,Only Ali has this file
Burn After Reading (2008),ali,Burn After Reading (2008) {tmdb-4944} - [Bluray-1080p][EAC3 5.1][x264]-playHD.mkv,3891,,0,COPY Ali → Chris,,Only Ali has this file
Babylon (2022),ali,Babylon (2022) {tmdb-615777} - [Bluray-1080p][TrueHD Atmos 7.1][x264]-ROEN.mkv,4300,Babylon (2022) {tmdb-615777} - [AMZN][WEBDL-1080p][EAC3 Atmos 5.1][h264]-CMRG.mkv,3729,"MOVE Chris's to Deleted, COPY Ali's to Chris",/mnt/synology/rs-4kmedia/deleted/Movies,Ali's version is higher quality (+571)
